line,from_id,to_id,from_name,to_name,from_name_clean,to_name_clean
bakerloo,940GZZLUEAC,940GZZLULBN,elephant and castle,lambeth north,elephant and castle,lambeth north
bakerloo,940GZZLULBN,940GZZLUWLO,lambeth north,waterloo,lambeth north,waterloo
bakerloo,940GZZLUWLO,940GZZLUEMB,waterloo,embankment,waterloo,embankment
bakerloo,940GZZLUEMB,940GZZLUCHX,embankment,charing cross,embankment,charing cross
bakerloo,940GZZLUCHX,940GZZLUPCC,charing cross,piccadilly circus,charing cross,piccadilly circus
bakerloo,940GZZLUPCC,940GZZLUOXC,piccadilly circus,oxford circus,piccadilly circus,oxford circus
bakerloo,940GZZLUOXC,940GZZLURGP,oxford circus,regents park,oxford circus,regents park
bakerloo,940GZZLURGP,940GZZLUBST,regents park,baker street,regents park,baker street
bakerloo,940GZZLUBST,940GZZLUMYB,baker street,marylebone,baker street,marylebone
bakerloo,940GZZLUMYB,940GZZLUERB,marylebone,edgware road (bakerloo),marylebone,edgware road (bakerloo)
bakerloo,940GZZLUERB,940GZZLUPAC,edgware road (bakerloo),paddington,edgware road (bakerloo),paddington
bakerloo,940GZZLUPAC,940GZZLUWKA,paddington,warwick avenue,paddington,warwick avenue
bakerloo,940GZZLUWKA,940GZZLUMVL,warwick avenue,maida vale,warwick avenue,maida vale
bakerloo,940GZZLUMVL,940GZZLUKPK,maida vale,kilburn park,maida vale,kilburn park
bakerloo,940GZZLUKPK,940GZZLUQPS,kilburn park,queens park,kilburn park,queens park
bakerloo,940GZZLUQPS,940GZZLUKSL,queens park,kensal green,queens park,kensal green
bakerloo,940GZZLUKSL,940GZZLUWJN,kensal green,willesden junction,kensal green,willesden junction
bakerloo,940GZZLUWJN,940GZZLUHSN,willesden junction,harlesden,willesden junction,harlesden
bakerloo,940GZZLUHSN,940GZZLUSGP,harlesden,stonebridge park,harlesden,stonebridge park
bakerloo,940GZZLUSGP,940GZZLUWYC,stonebridge park,wembley central,stonebridge park,wembley central
bakerloo,940GZZLUWYC,940GZZLUNWY,wembley central,north wembley,wembley central,north wembley
bakerloo,940GZZLUNWY,940GZZLUSKT,north wembley,south kenton,north wembley,south kenton
bakerloo,940GZZLUSKT,940GZZLUKEN,south kenton,kenton,south kenton,kenton
bakerloo,940GZZLUKEN,940GZZLUHAW,kenton,harrow and wealdstone,kenton,harrow and wealdstone
bakerloo,940GZZLUHAW,940GZZLUKEN,harrow and wealdstone,kenton,harrow and wealdstone,kenton
bakerloo,940GZZLUKEN,940GZZLUSKT,kenton,south kenton,kenton,south kenton
bakerloo,940GZZLUSKT,940GZZLUNWY,south kenton,north wembley,south kenton,north wembley
bakerloo,940GZZLUNWY,940GZZLUWYC,north wembley,wembley central,north wembley,wembley central
bakerloo,940GZZLUWYC,940GZZLUSGP,wembley central,stonebridge park,wembley central,stonebridge park
bakerloo,940GZZLUSGP,940GZZLUHSN,stonebridge park,harlesden,stonebridge park,harlesden
bakerloo,940GZZLUHSN,940GZZLUWJN,harlesden,willesden junction,harlesden,willesden junction
bakerloo,940GZZLUWJN,940GZZLUKSL,willesden junction,kensal green,willesden junction,kensal green
bakerloo,940GZZLUKSL,940GZZLUQPS,kensal green,queens park,kensal green,queens park
bakerloo,940GZZLUQPS,940GZZLUKPK,queens park,kilburn park,queens park,kilburn park
bakerloo,940GZZLUKPK,940GZZLUMVL,kilburn park,maida vale,kilburn park,maida vale
bakerloo,940GZZLUMVL,940GZZLUWKA,maida vale,warwick avenue,maida vale,warwick avenue
bakerloo,940GZZLUWKA,940GZZLUPAC,warwick avenue,paddington,warwick avenue,paddington
bakerloo,940GZZLUPAC,940GZZLUERB,paddington,edgware road (bakerloo),paddington,edgware road (bakerloo)
bakerloo,940GZZLUERB,940GZZLUMYB,edgware road (bakerloo),marylebone,edgware road (bakerloo),marylebone
bakerloo,940GZZLUMYB,940GZZLUBST,marylebone,baker street,marylebone,baker street
bakerloo,940GZZLUBST,940GZZLURGP,baker street,regents park,baker street,regents park
bakerloo,940GZZLURGP,940GZZLUOXC,regents park,oxford circus,regents park,oxford circus
bakerloo,940GZZLUOXC,940GZZLUPCC,oxford circus,piccadilly circus,oxford circus,piccadilly circus
bakerloo,940GZZLUPCC,940GZZLUCHX,piccadilly circus,charing cross,piccadilly circus,charing cross
bakerloo,940GZZLUCHX,940GZZLUEMB,charing cross,embankment,charing cross,embankment
bakerloo,940GZZLUEMB,940GZZLUWLO,embankment,waterloo,embankment,waterloo
bakerloo,940GZZLUWLO,940GZZLULBN,waterloo,lambeth north,waterloo,lambeth north
bakerloo,940GZZLULBN,940GZZLUEAC,lambeth north,elephant and castle,lambeth north,elephant and castle
central,940GZZLUEBY,940GZZLUWTA,ealing broadway,west acton,ealing broadway,west acton
central,940GZZLUWTA,940GZZLUNAN,west acton,north acton,west acton,north acton
central,940GZZLUNAN,940GZZLUEAN,north acton,east acton,north acton,east acton
central,940GZZLUEAN,940GZZLUWCY,east acton,white city,east acton,white city
central,940GZZLUWCY,940GZZLUSBC,white city,shepherds bush (central),white city,shepherds bush (central)
central,940GZZLUSBC,940GZZLUHPK,shepherds bush (central),holland park,shepherds bush (central),holland park
central,940GZZLUHPK,940GZZLUNHG,holland park,notting hill gate,holland park,notting hill gate
central,940GZZLUNHG,940GZZLUQWY,notting hill gate,queensway,notting hill gate,queensway
central,940GZZLUQWY,940GZZLULGT,queensway,lancaster gate,queensway,lancaster gate
central,940GZZLULGT,940GZZLUMBA,lancaster gate,marble arch,lancaster gate,marble arch
central,940GZZLUMBA,940GZZLUBND,marble arch,bond street,marble arch,bond street
central,940GZZLUBND,940GZZLUOXC,bond street,oxford circus,bond street,oxford circus
central,940GZZLUOXC,940GZZLUTCR,oxford circus,tottenham court road,oxford circus,tottenham court road
central,940GZZLUTCR,940GZZLUHBN,tottenham court road,holborn,tottenham court road,holborn
central,940GZZLUHBN,940GZZLUCHL,holborn,chancery lane,holborn,chancery lane
central,940GZZLUCHL,940GZZLUSPU,chancery lane,st. pauls,chancery lane,st. pauls
central,940GZZLUSPU,940GZZLUBNK,st. pauls,bank,st. pauls,bank
central,940GZZLUBNK,940GZZLULVT,bank,liverpool street,bank,liverpool street
central,940GZZLULVT,940GZZLUBLG,liverpool street,bethnal green,liverpool street,bethnal green
central,940GZZLUBLG,940GZZLUMED,bethnal green,mile end,bethnal green,mile end
central,940GZZLUMED,940GZZLUSTD,mile end,stratford,mile end,stratford
central,940GZZLUSTD,940GZZLULYN,stratford,leyton,stratford,leyton
central,940GZZLULYN,940GZZLULYS,leyton,leytonstone,leyton,leytonstone
central,940GZZLULYS,940GZZLUSNB,leytonstone,snaresbrook,leytonstone,snaresbrook
central,940GZZLUSNB,940GZZLUSWF,snaresbrook,south woodford,snaresbrook,south woodford
central,940GZZLUSWF,940GZZLUWOF,south woodford,woodford,south woodford,woodford
central,940GZZLUWOF,940GZZLUBKH,woodford,buckhurst hill,woodford,buckhurst hill
central,940GZZLUBKH,940GZZLULGN,buckhurst hill,loughton,buckhurst hill,loughton
central,940GZZLULGN,940GZZLUDBN,loughton,debden,loughton,debden
central,940GZZLUDBN,940GZZLUTHB,debden,theydon bois,debden,theydon bois
central,940GZZLUTHB,940GZZLUEPG,theydon bois,epping,theydon bois,epping
central,940GZZLULYS,940GZZLUWSD,leytonstone,wanstead,leytonstone,wanstead
central,940GZZLUWSD,940GZZLURBG,wanstead,redbridge,wanstead,redbridge
central,940GZZLURBG,940GZZLUGTH,redbridge,gants hill,redbridge,gants hill
central,940GZZLUGTH,940GZZLUNBP,gants hill,newbury park,gants hill,newbury park
central,940GZZLUNBP,940GZZLUBKE,newbury park,barkingside,newbury park,barkingside
central,940GZZLUBKE,940GZZLUFLP,barkingside,fairlop,barkingside,fairlop
central,940GZZLUFLP,940GZZLUHLT,fairlop,hainault,fairlop,hainault
central,940GZZLUEPG,940GZZLUTHB,epping,theydon bois,epping,theydon bois
central,940GZZLUTHB,940GZZLUDBN,theydon bois,debden,theydon bois,debden
central,940GZZLUDBN,940GZZLULGN,debden,loughton,debden,loughton
central,940GZZLULGN,940GZZLUBKH,loughton,buckhurst hill,loughton,buckhurst hill
central,940GZZLUBKH,940GZZLUWOF,buckhurst hill,woodford,buckhurst hill,woodford
central,940GZZLUWOF,940GZZLUSWF,woodford,south woodford,woodford,south woodford
central,940GZZLUSWF,940GZZLUSNB,south woodford,snaresbrook,south woodford,snaresbrook
central,940GZZLUSNB,940GZZLULYS,snaresbrook,leytonstone,snaresbrook,leytonstone
central,940GZZLULYS,940GZZLULYN,leytonstone,leyton,leytonstone,leyton
central,940GZZLULYN,940GZZLUSTD,leyton,stratford,leyton,stratford
central,940GZZLUSTD,940GZZLUMED,stratford,mile end,stratford,mile end
central,940GZZLUMED,940GZZLUBLG,mile end,bethnal green,mile end,bethnal green
central,940GZZLUBLG,940GZZLULVT,bethnal green,liverpool street,bethnal green,liverpool street
central,940GZZLULVT,940GZZLUBNK,liverpool street,bank,liverpool street,bank
central,940GZZLUBNK,940GZZLUSPU,bank,st. pauls,bank,st. pauls
