Financial Year,Period,Organisational Name,KPI Name,EJT for Period,EJT Year to Date,Line,Line_clean
2016-17,1,Line Operations - Bakerloo Line,Excess Journey Time - Trains,1.61,1.61,Bakerloo,bakerloo
2016-17,1,Line Operations - Central Line,Excess Journey Time - Trains,2.72,2.72,Central,central
2016-17,1,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,3.55,3.55,Circle and Hammersmith,circle and hammersmith
2016-17,1,Line Operations - District Line,Excess Journey Time - Trains,2.81,2.81,District,district
2016-17,1,Line Operations - Jubilee Line,Excess Journey Time - Trains,1.41,1.41,Jubilee,jubilee
2016-17,1,Line Operations - Metropolitan Line,Excess Journey Time - Trains,1.18,1.18,Metropolitan,metropolitan
2016-17,1,Line Operations - Northern Line,Excess Journey Time - Trains,1.33,1.33,Northern,northern
2016-17,1,Line Operations - Piccadilly Line,Excess Journey Time - Trains,1.76,1.76,Piccadilly,piccadilly
2016-17,1,Line Operations - Victoria Line,Excess Journey Time - Trains,0.73,0.73,Victoria,victoria
2016-17,1,London Underground Network,Excess Journey Time - Total,4.04,4.04,London Underground Network,london underground network
2016-17,2,Line Operations - Bakerloo Line,Excess Journey Time - Trains,1.27,1.44,Bakerloo,bakerloo
2016-17,2,Line Operations - Central Line,Excess Journey Time - Trains,2.71,2.71,Central,central
2016-17,2,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,2.94,3.25,Circle and Hammersmith,circle and hammersmith
2016-17,2,Line Operations - District Line,Excess Journey Time - Trains,2.79,2.8,District,district
2016-17,2,Line Operations - Jubilee Line,Excess Journey Time - Trains,1.36,1.38,Jubilee,jubilee
2016-17,2,Line Operations - Metropolitan Line,Excess Journey Time - Trains,1.85,1.52,Metropolitan,metropolitan
2016-17,2,Line Operations - Northern Line,Excess Journey Time - Trains,1.92,1.62,Northern,northern
2016-17,2,Line Operations - Piccadilly Line,Excess Journey Time - Trains,2.07,1.92,Piccadilly,piccadilly
2016-17,2,Line Operations - Victoria Line,Excess Journey Time - Trains,1.03,0.88,Victoria,victoria
2016-17,2,London Underground Network,Excess Journey Time - Total,4.2,4.12,London Underground Network,london underground network
2016-17,3,Line Operations - Bakerloo Line,Excess Journey Time - Trains,1.85,1.57,Bakerloo,bakerloo
2016-17,3,Line Operations - Central Line,Excess Journey Time - Trains,2.63,2.69,Central,central
2016-17,3,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,5.34,3.94,Circle and Hammersmith,circle and hammersmith
2016-17,3,Line Operations - District Line,Excess Journey Time - Trains,3.61,3.07,District,district
2016-17,3,Line Operations - Jubilee Line,Excess Journey Time - Trains,1.52,1.43,Jubilee,jubilee
2016-17,3,Line Operations - Metropolitan Line,Excess Journey Time - Trains,2.46,1.83,Metropolitan,metropolitan
2016-17,3,Line Operations - Northern Line,Excess Journey Time - Trains,1.15,1.46,Northern,northern
2016-17,3,Line Operations - Piccadilly Line,Excess Journey Time - Trains,1.92,1.92,Piccadilly,piccadilly
2016-17,3,Line Operations - Victoria Line,Excess Journey Time - Trains,0.79,0.85,Victoria,victoria
2016-17,3,London Underground Network,Excess Journey Time - Total,4.44,4.23,London Underground Network,london underground network
2016-17,4,Line Operations - Bakerloo Line,Excess Journey Time - Trains,1.41,1.53,Bakerloo,bakerloo
2016-17,4,Line Operations - Central Line,Excess Journey Time - Trains,3.2,2.81,Central,central
2016-17,4,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,3.69,3.88,Circle and Hammersmith,circle and hammersmith
2016-17,4,Line Operations - District Line,Excess Journey Time - Trains,2.79,3.0,District,district
2016-17,4,Line Operations - Jubilee Line,Excess Journey Time - Trains,1.16,1.36,Jubilee,jubilee
2016-17,4,Line Operations - Metropolitan Line,Excess Journey Time - Trains,3.14,2.16,Metropolitan,metropolitan
2016-17,4,Line Operations - Northern Line,Excess Journey Time - Trains,1.28,1.42,Northern,northern
2016-17,4,Line Operations - Piccadilly Line,Excess Journey Time - Trains,2.06,1.96,Piccadilly,piccadilly
2016-17,4,Line Operations - Victoria Line,Excess Journey Time - Trains,1.36,0.98,Victoria,victoria
2016-17,4,London Underground Network,Excess Journey Time - Total,4.39,4.27,London Underground Network,london underground network
2016-17,5,Line Operations - Bakerloo Line,Excess Journey Time - Trains,1.48,1.52,Bakerloo,bakerloo
2016-17,5,Line Operations - Central Line,Excess Journey Time - Trains,1.93,2.64,Central,central
2016-17,5,Line Operations - Circle and Hammersmith Line,Excess Journey Time - Trains,3.31,3.77,Circle and Hammersmith,circle and hammersmith
2016-17,5,Line Operations - District Line,Excess Journey Time - Trains,2.78,2.95,District,district
2016-17,5,Line Operations - Jubilee Line,Excess Journey Time - Trains,1.09,1.31,Jubilee,jubilee
2016-17,5,Line Operations - Metropolitan Line,Excess Journey Time - Trains,1.63,2.05,Metropolitan,metropolitan
2016-17,5,Line Operations - Northern Line,Excess Journey Time - Trains,2.14,1.56,Northern,northern
2016-17,5,Line Operations - Piccadilly Line,Excess Journey Time - Trains,2.43,2.05,Piccadilly,piccadilly
2016-17,5,Line Operations - Victoria Line,Excess Journey Time - Trains,0.54,0.89,Victoria,victoria
2016-17,5,London Underground Network,Excess Journey Time - Total,4.04,4.22,London Underground Network,london underground network
