station_removed,num_components,largest_component_size,avg_shortest_path,components_norm,largest_component_loss,largest_component_loss_norm,avg_shortest_path_norm,failure_impact_score,station_display
camden town,3,251,13.667824701195219,1.0,20,0.9090909090909091,0.09389503266879773,0.7008957825279121,Camden Town
earls court,3,262,14.67310110847884,1.0,9,0.4090909090909091,0.3541417919423648,0.6289698103099821,Earls Court
finsbury park,3,259,13.870521684475174,1.0,12,0.5454545454545454,0.14636938960280446,0.6075471805172049,Finsbury Park
stockwell,3,261,13.86657824933687,1.0,10,0.45454545454545453,0.14534850996441515,0.5799681893529609,Stockwell
euston,2,249,13.731020857624044,0.5,22,1.0,0.1102553041224846,0.5330765912367453,Euston
moor park,3,264,13.646301417213964,1.0,7,0.3181818181818182,0.08832306772019043,0.5219514657706026,Moor Park
finchley central,3,266,13.774237480493687,1.0,5,0.22727272727272727,0.1214432579698879,0.5046147955727845,Finchley Central
kings cross st. pancras,2,254,14.12785160748187,0.5,17,0.7727272727272727,0.21298716561086642,0.49571433150144173,Kings Cross St. Pancras
stratford,2,251,13.407043824701196,0.5,20,0.9090909090909091,0.026383871065517206,0.48064243404692786,Stratford
chalfont and latimer,3,269,13.81648449203795,1.0,2,0.09090909090909091,0.13238019806290824,0.46698678669159976,Chalfont And Latimer
leyton,2,252,13.305128691582874,0.5,19,0.8636363636363636,0.0,0.4590909090909091,Leyton
leytonstone,2,253,13.30692013300709,0.5,18,0.8181818181818182,0.000463769786799458,0.4455936763905853,Leytonstone
harrow-on-the-hill,2,259,14.137948579809045,0.5,12,0.5454545454545454,0.21560107787179608,0.4283166869979025,Harrow-On-The-Hill
wembley park,2,267,15.541015459998311,0.5,4,0.18181818181818182,0.578828152502935,0.4281939002963351,Wembley Park
paddington,2,258,13.844689771664706,0.5,13,0.5909090909090909,0.13968200338140996,0.4191773282871503,Paddington
warwick avenue,2,259,13.703720331627308,0.5,12,0.5454545454545454,0.10318772214638648,0.3945926802802796,Warwick Avenue
edgware road (circle line),2,262,14.110994121259981,0.5,9,0.4090909090909091,0.20862308611296992,0.3853141985611637,Edgware Road (Circle Line)
maida vale,2,260,13.68096228096228,0.5,11,0.5,0.09729609981242474,0.3791888299437274,Maida Vale
west ham,2,259,13.468917422405795,0.5,12,0.5454545454545454,0.042401757460293905,0.37635689087445184,West Ham
acton town,2,260,13.632877932877934,0.5,11,0.5,0.08484798537338491,0.37545439561201543,Acton Town
north harrow,2,260,13.60947430947431,0.5,11,0.5,0.07878923665320953,0.3736367709959628,North Harrow
kentish town,2,261,13.782434423813735,0.5,10,0.45454545454545453,0.12356528920382064,0.37343322312478255,Kentish Town
kilburn park,2,261,13.665811965811965,0.5,10,0.45454545454545453,0.09337397412512578,0.3643758286011741,Kilburn Park
plaistow,2,260,13.45001485001485,0.5,11,0.5,0.03750824442145729,0.3612524733264372,Plaistow
pinner,2,261,13.607928087238433,0.5,10,0.45454545454545453,0.0783889494057538,0.3598803211853625,Pinner
paddington (handc line)-underground,2,263,13.95164426900415,0.5,8,0.36363636363636365,0.1673704690816407,0.35930204981540126,Paddington (Handc Line)-Underground
tufnell park,2,262,13.766166535053085,0.5,9,0.4090909090909091,0.11935384516762573,0.35853342627756046,Tufnell Park
south ealing,2,261,13.524432655467137,0.5,10,0.45454545454545453,0.05677358533753465,0.3533957119648968,South Ealing
chalk farm,2,263,13.858648013235422,0.5,8,0.36363636363636365,0.14329552410826368,0.3520795663233882,Chalk Farm
queens park,2,262,13.658126407534146,0.5,9,0.4090909090909091,0.09138433065938965,0.35014257192508963,Queens Park
clapham north,2,263,13.828868313354425,0.5,8,0.36363636363636365,0.13558613161678906,0.3497667485759458,Clapham North
upton park,2,261,13.455732390215148,0.5,10,0.45454545454545453,0.03898840579534695,0.34806015810224045,Upton Park
northwood hills,2,262,13.613641016641806,0.5,9,0.4090909090909091,0.07986791713285277,0.3466876478671286,Northwood Hills
archway,2,263,13.757350593562244,0.5,8,0.36363636363636365,0.11707156719281848,0.34421237924875464,Archway
royal oak,2,264,13.923839151976035,0.5,7,0.3181818181818182,0.1601722581763012,0.3435062229074358,Royal Oak
northfields,2,262,13.53201134801556,0.5,9,0.4090909090909091,0.058735563317886555,0.3403479417226387,Northfields
west brompton,2,264,13.88305104274686,0.5,7,0.3181818181818182,0.14961299987989715,0.3403384454185146,West Brompton
manor house,2,264,13.85516764604217,0.5,7,0.3181818181818182,0.14239452386936102,0.33817290261535377,Manor House
belsize park,2,264,13.841802050927527,0.5,7,0.3181818181818182,0.1389344279304265,0.3371348738336734,Belsize Park
kensal green,2,263,13.657765651757467,0.5,8,0.36363636363636365,0.09129093791577235,0.33647819046564076,Kensal Green
rayners lane,2,265,14.000485991995426,0.5,6,0.2727272727272727,0.18001465334153302,0.33582257782064173,Rayners Lane
east ham,2,262,13.468602848702876,0.5,9,0.4090909090909091,0.04232032036881908,0.33542336883791846,East Ham
clapham common,2,264,13.815531743288398,0.5,7,0.3181818181818182,0.13213354970562402,0.33509461036623267,Clapham Common
northwood,2,263,13.626476649348387,0.5,8,0.36363636363636365,0.08319081598028502,0.3340481538849946,Northwood
north acton,2,264,13.76788800553059,0.5,7,0.3181818181818182,0.11979950081985231,0.33139439570050117,North Acton
highgate,2,264,13.755847447862656,0.5,7,0.3181818181818182,0.11668243163348453,0.3304592749445908,Highgate
westbourne park,2,265,13.90360205831904,0.5,6,0.2727272727272727,0.15493326320617187,0.3282981607800334,Westbourne Park
boston manor,2,263,13.546686790700374,0.5,8,0.36363636363636365,0.06253475364201619,0.32785133518351395,Boston Manor
fulham broadway,2,265,13.868181818181819,0.5,6,0.2727272727272727,0.14576364314783255,0.32554727476253154,Fulham Broadway
turnham green,2,268,14.371569120688692,0.5,3,0.13636363636363635,0.27608095009713984,0.32373337593823287,Turnham Green
turnpike lane,2,265,13.84396798170383,0.5,6,0.2727272727272727,0.13949514581981481,0.32366672556412623,Turnpike Lane
willesden junction,2,264,13.664592695010946,0.5,7,0.3181818181818182,0.09305832832627561,0.32337204395242813,Willesden Junction
barking,2,263,13.488491568223377,0.5,8,0.36363636363636365,0.0474691279642322,0.32333164748017873,Barking
hampstead,2,265,13.83236134934248,0.5,6,0.2727272727272727,0.13649041156340974,0.3227653052872047,Hampstead
clapham south,2,265,13.809548313321898,0.5,6,0.2727272727272727,0.1305845545766826,0.3209935481911866,Clapham South
east finchley,2,265,13.76152086906804,0.5,6,0.2727272727272727,0.1181511714467311,0.31726353325220114,East Finchley
hanger lane,2,265,13.749514008004574,0.5,6,0.2727272727272727,0.115042825664243,0.3163310295174547,Hanger Lane
osterley,2,264,13.568325843991243,0.5,7,0.3181818181818182,0.06813668904196621,0.31589555216713533,Osterley
ladbroke grove,2,266,13.890793020286566,0.5,5,0.22727272727272727,0.15161724920921482,0.3136669929445826,Ladbroke Grove
upney,2,264,13.515266735799056,0.5,7,0.3181818181818182,0.05440070473266129,0.31177475687434386,Upney
parsons green,2,266,13.860661086678961,0.5,5,0.22727272727272727,0.14381667016925237,0.3113268192325939,Parsons Green
harlesden,2,265,13.678473413379074,0.5,6,0.2727272727272727,0.09665177978452237,0.3108137157535385,Harlesden
