station_display,propagation_risk_score,failure_impact_score,betweenness_centrality,num_components,avg_shortest_path
Baker Street,0.7899999999999999,0.3,0.3543809046556072,1,17.167910345770125
Green Park,0.6752288560105894,0.0873377559956885,0.3418789576784653,1,14.429684296842968
Earls Court,0.6459653938762946,0.6289698103099821,0.2059716988704278,3,14.67310110847884
Kings Cross St. Pancras,0.6246643952270317,0.4957143315014417,0.1955828891622253,2,14.12785160748187
Waterloo,0.5938478392943689,0.0959692387975166,0.282363901416792,1,14.54082274156075
Liverpool Street,0.5564053977835186,0.1290219164228148,0.2724235797913536,1,14.966406997403308
Stratford,0.5243624464771812,0.4806424340469278,0.2221989886565535,2,13.407043824701196
Wembley Park,0.5187208907384887,0.4281939002963351,0.1821017374194905,2,15.541015459998311
Bank,0.517697409514889,0.0924941435327373,0.2527556831123866,1,14.496077627442942
Camden Town,0.5076844683694098,0.7008957825279121,0.1399207325406587,3,13.66782470119522
Euston,0.5073945327129532,0.5330765912367453,0.1753983873172064,2,13.731020857624044
Finchley Road,0.5003560829148015,0.2407408159338341,0.2089433391688414,1,16.40489271559382
Westminster,0.4896617037012452,0.0833468096928266,0.2584554234431233,1,14.378297116304497
Bond Street,0.4657374654384394,0.0744287429809526,0.2433950725750643,1,14.263468634686348
Mile End,0.4635301141873498,0.1155078929313152,0.2330959865154209,1,14.792401257345906
