Financial Year,Period,Line,Actual KMs in Peak,Scheduled KMs in Peak,Actual KMs in Off Peak,Scheduled KMs in Off Peak,Actual KMs Total,Scheduled KMs Total,Line_clean
2016-17,1,Bakerloo,76446.0,79803.0,232682.0,238264.0,309128.0,318068.0,bakerloo
2016-17,1,C&H,75814.0,79242.0,257117.0,269366.0,332931.0,348608.0,candh
2016-17,1,Central,281658.0,293652.0,778134.0,788828.0,1059792.0,1082480.0,central
2016-17,1,District,214410.0,220225.0,623936.0,631176.0,838346.0,851400.0,district
2016-17,1,Jubilee,227387.0,232641.0,663054.0,672295.0,890442.0,904936.0,jubilee
2016-17,1,Metropolitan,179229.0,181473.0,499016.0,504239.0,678246.0,685713.0,metropolitan
2016-17,1,Northern,310205.0,313225.0,848313.0,854621.0,1158518.0,1167845.0,northern
2016-17,1,Piccadilly,251574.0,260550.0,764374.0,781698.0,1015949.0,1042248.0,piccadilly
2016-17,1,Victoria,163941.0,166123.0,419814.0,420155.0,583754.0,586278.0,victoria
2016-17,1,Waterloo & City,11142.0,11792.0,18059.0,18383.0,29201.0,30175.0,waterloo and city
2016-17,2,Bakerloo,73006.0,75701.0,216889.0,220327.0,289895.0,296028.0,bakerloo
2016-17,2,C&H,72002.0,75512.0,248818.0,260415.0,320820.0,335927.0,candh
2016-17,2,Central,266636.0,278136.0,716133.0,726767.0,982769.0,1004903.0,central
2016-17,2,District,201913.0,207952.0,573836.0,584855.0,775749.0,792807.0,district
2016-17,2,Jubilee,215435.0,220155.0,617560.0,622216.0,832995.0,842371.0,jubilee
2016-17,2,Metropolitan,166787.0,171186.0,456280.0,466030.0,623067.0,637217.0,metropolitan
2016-17,2,Northern,282266.0,291282.0,801830.0,807921.0,1084096.0,1099203.0,northern
2016-17,2,Piccadilly,238813.0,246608.0,710148.0,722856.0,948961.0,969464.0,piccadilly
2016-17,2,Victoria,157774.0,162784.0,403781.0,407063.0,561555.0,569847.0,victoria
2016-17,2,Waterloo & City,10663.0,10934.0,16685.0,16751.0,27348.0,27685.0,waterloo and city
2016-17,3,Bakerloo,71382.0,75708.0,212991.0,220319.0,284372.0,296027.0,bakerloo
2016-17,3,C&H,70460.0,75549.0,206349.0,221736.0,276809.0,297284.0,candh
2016-17,3,Central,265024.0,278136.0,724531.0,739492.0,989555.0,1017628.0,central
2016-17,3,District,196370.0,206053.0,525841.0,540364.0,722211.0,746417.0,district
2016-17,3,Jubilee,214725.0,220167.0,614167.0,622342.0,828891.0,842509.0,jubilee
2016-17,3,Metropolitan,162823.0,170060.0,432786.0,450543.0,595609.0,620604.0,metropolitan
2016-17,3,Northern,293395.0,297004.0,858811.0,863997.0,1152206.0,1161001.0,northern
2016-17,3,Piccadilly,239833.0,246823.0,705709.0,722030.0,945542.0,968853.0,piccadilly
2016-17,3,Victoria,165238.0,169015.0,422198.0,425023.0,587436.0,594038.0,victoria
2016-17,3,Waterloo & City,10350.0,10934.0,16529.0,16751.0,26879.0,27685.0,waterloo and city
2016-17,4,Bakerloo,73884.0,76006.0,214942.0,217481.0,288826.0,293487.0,bakerloo
2016-17,4,C&H,69110.0,75538.0,231803.0,251739.0,300913.0,327277.0,candh
2016-17,4,Central,261944.0,279671.0,721637.0,763714.0,983580.0,1043385.0,central
2016-17,4,District,203084.0,209132.0,578796.0,583733.0,781880.0,792864.0,district
2016-17,4,Jubilee,218371.0,221502.0,616328.0,623779.0,834699.0,845281.0,jubilee
2016-17,4,Metropolitan,162220.0,171520.0,448017.0,456933.0,610237.0,628453.0,metropolitan
2016-17,4,Northern,295022.0,298309.0,829725.0,834575.0,1124747.0,1132884.0,northern
2016-17,4,Piccadilly,241017.0,248600.0,704364.0,721847.0,945380.0,970448.0,piccadilly
2016-17,4,Victoria,159978.0,170488.0,417413.0,427322.0,577392.0,597810.0,victoria
2016-17,4,Waterloo & City,10822.0,11230.0,17361.0,17333.0,28184.0,28563.0,waterloo and city
2016-17,5,Bakerloo,73818.0,76006.0,213374.0,220372.0,287192.0,296378.0,bakerloo
2016-17,5,C&H,71355.0,75290.0,239470.0,257227.0,310825.0,332517.0,candh
2016-17,5,Central,271192.0,279503.0,755235.0,766281.0,1026426.0,1045784.0,central
2016-17,5,District,204239.0,209031.0,581762.0,591445.0,786001.0,800476.0,district
2016-17,5,Jubilee,217113.0,221485.0,616080.0,622434.0,833193.0,843918.0,jubilee
2016-17,5,Metropolitan,166052.0,170870.0,447651.0,456606.0,613703.0,627476.0,metropolitan
2016-17,5,Northern,293704.0,298267.0,730482.0,733107.0,1024185.0,1031373.0,northern
2016-17,5,Piccadilly,239740.0,248451.0,700272.0,722552.0,940012.0,971003.0,piccadilly
2016-17,5,Victoria,168254.0,170399.0,424819.0,427612.0,593072.0,598011.0,victoria
2016-17,5,Waterloo & City,10840.0,11230.0,16837.0,16894.0,27677.0,28124.0,waterloo and city
2016-17,6,Bakerloo,70684.0,75701.0,207668.0,217111.0,278352.0,292812.0,bakerloo
2016-17,6,C&H,67937.0,75361.0,230816.0,252735.0,298753.0,328096.0,candh
2016-17,6,Central,260915.0,277261.0,759957.0,779880.0,1020872.0,1057141.0,central
2016-17,6,District,201598.0,207643.0,572876.0,582012.0,774474.0,789655.0,district
2016-17,6,Jubilee,215546.0,220088.0,615806.0,622511.0,831352.0,842599.0,jubilee
2016-17,6,Metropolitan,165063.0,169153.0,445997.0,461106.0,611060.0,630259.0,metropolitan
2016-17,6,Northern,289608.0,291772.0,773205.0,782288.0,1062813.0,1074060.0,northern
2016-17,6,Piccadilly,235316.0,246686.0,692713.0,722168.0,928029.0,968854.0,piccadilly
2016-17,6,Victoria,166665.0,169147.0,433809.0,436871.0,600474.0,606018.0,victoria
2016-17,6,Waterloo & City,10749.0,10934.0,16793.0,16751.0,27542.0,27685.0,waterloo and city
2016-17,7,Bakerloo,72877.0,76006.0,213901.0,220378.0,286778.0,296384.0,bakerloo
2016-17,7,C&H,71763.0,75284.0,226803.0,240025.0,298566.0,315308.0,candh
2016-17,7,Central,263586.0,279270.0,762251.0,782986.0,1025837.0,1062256.0,central
2016-17,7,District,202833.0,208937.0,530980.0,545109.0,733813.0,754046.0,district
2016-17,7,Jubilee,218756.0,221340.0,623438.0,631370.0,842193.0,852710.0,jubilee
2016-17,7,Metropolitan,167732.0,170915.0,451085.0,456433.0,618818.0,627348.0,metropolitan
2016-17,7,Northern,294686.0,298309.0,839105.0,850002.0,1133791.0,1148311.0,northern
2016-17,7,Piccadilly,237157.0,248451.0,686005.0,711490.0,923162.0,959941.0,piccadilly
2016-17,7,Victoria,167478.0,170611.0,436942.0,437293.0,604420.0,607904.0,victoria
2016-17,7,Waterloo & City,10977.0,11230.0,16883.0,16894.0,27860.0,28124.0,waterloo and city
2016-17,8,Bakerloo,72385.0,76006.0,212710.0,217150.0,285095.0,293156.0,bakerloo
2016-17,8,C&H,68201.0,75250.0,225767.0,246207.0,293968.0,321457.0,candh
2016-17,8,Central,262442.0,277536.0,766115.0,785138.0,1028557.0,1062674.0,central
2016-17,8,District,199146.0,208950.0,575377.0,588695.0,774523.0,797645.0,district
2016-17,8,Jubilee,217447.0,221815.0,636582.0,643420.0,854029.0,865235.0,jubilee
2016-17,8,Metropolitan,166705.0,171130.0,451057.0,457546.0,617761.0,628676.0,metropolitan
2016-17,8,Northern,295154.0,297912.0,858380.0,864771.0,1153533.0,1162683.0,northern
2016-17,8,Piccadilly,232386.0,248428.0,687196.0,719785.0,919582.0,968213.0,piccadilly
2016-17,8,Victoria,166587.0,170611.0,434178.0,437546.0,600765.0,608157.0,victoria
2016-17,8,Waterloo & City,10955.0,11230.0,16803.0,16894.0,27758.0,28124.0,waterloo and city
2016-17,9,Bakerloo,73326.0,76006.0,212205.0,217150.0,285531.0,293156.0,bakerloo
2016-17,9,C&H,70393.0,75274.0,226432.0,246891.0,296825.0,322166.0,candh
2016-17,9,Central,249664.0,277556.0,752645.0,784802.0,1002308.0,1062358.0,central
2016-17,9,District,200643.0,208979.0,558934.0,571297.0,759576.0,780276.0,district
2016-17,9,Jubilee,217699.0,221819.0,636099.0,643105.0,853797.0,864924.0,jubilee
2016-17,9,Metropolitan,166709.0,171293.0,454612.0,462487.0,621321.0,633780.0,metropolitan
2016-17,9,Northern,288672.0,298866.0,872903.0,888181.0,1161575.0,1187047.0,northern
2016-17,9,Piccadilly,171797.0,248072.0,525648.0,723664.0,697445.0,971736.0,piccadilly
2016-17,9,Victoria,164856.0,170611.0,430006.0,437293.0,594862.0,607904.0,victoria
2016-17,9,Waterloo & City,10851.0,11230.0,16872.0,16894.0,27723.0,28124.0,waterloo and city
2016-17,10,Bakerloo,71648.0,72615.0,203002.0,205490.0,274650.0,278105.0,bakerloo
2016-17,10,C&H,64936.0,68726.0,213024.0,229847.0,277960.0,298572.0,candh
2016-17,10,Central,248247.0,263760.0,706768.0,727586.0,955016.0,991346.0,central
2016-17,10,District,175206.0,181882.0,507231.0,518388.0,682437.0,700270.0,district
2016-17,10,Jubilee,209593.0,210368.0,592676.0,596094.0,802268.0,806462.0,jubilee
2016-17,10,Metropolitan,153681.0,157839.0,416728.0,423419.0,570409.0,581257.0,metropolitan
2016-17,10,Northern,283008.0,285806.0,816341.0,820168.0,1099349.0,1105974.0,northern
2016-17,10,Piccadilly,198446.0,234595.0,609726.0,693945.0,808172.0,928540.0,piccadilly
2016-17,10,Victoria,152377.0,158380.0,393561.0,401699.0,545938.0,560079.0,victoria
2016-17,10,Waterloo & City,9437.0,9644.0,15473.0,15527.0,24911.0,25171.0,waterloo and city
2016-17,11,Bakerloo,67770.0,75562.0,208624.0,220794.0,276394.0,296356.0,bakerloo
2016-17,11,C&H,68196.0,75434.0,231030.0,255275.0,299226.0,330709.0,candh
2016-17,11,Central,248800.0,279858.0,734015.0,782416.0,982815.0,1062274.0,central
2016-17,11,District,200815.0,209096.0,565845.0,584305.0,766660.0,793401.0,district
2016-17,11,Jubilee,214196.0,221783.0,538732.0,557021.0,752928.0,778804.0,jubilee
2016-17,11,Metropolitan,168101.0,171986.0,372674.0,378382.0,540776.0,550368.0,metropolitan
2016-17,11,Northern,289254.0,298881.0,870967.0,890279.0,1160221.0,1189160.0,northern
2016-17,11,Piccadilly,224357.0,249433.0,686890.0,750268.0,911247.0,999701.0,piccadilly
2016-17,11,Victoria,149946.0,170611.0,404510.0,437576.0,554456.0,608187.0,victoria
2016-17,11,Waterloo & City,10284.0,11230.0,15756.0,16894.0,26040.0,28124.0,waterloo and city
2016-17,12,Bakerloo,71671.0,75563.0,211219.0,217527.0,282890.0,293090.0,bakerloo
2016-17,12,C&H,69796.0,75489.0,232805.0,246871.0,302601.0,322360.0,candh
2016-17,12,Central,262125.0,280002.0,750861.0,782269.0,1012987.0,1062271.0,central
2016-17,12,District,197799.0,209105.0,565164.0,585779.0,762963.0,794884.0,district
2016-17,12,Jubilee,214335.0,222052.0,631905.0,642840.0,846240.0,864892.0,jubilee
2016-17,12,Metropolitan,165795.0,171986.0,429005.0,441591.0,594800.0,613577.0,metropolitan
2016-17,12,Northern,292467.0,299046.0,882284.0,890106.0,1174751.0,1189152.0,northern
2016-17,12,Piccadilly,234551.0,249652.0,708434.0,750108.0,942984.0,999760.0,piccadilly
2016-17,12,Victoria,167351.0,170705.0,434056.0,437765.0,601407.0,608470.0,victoria
2016-17,12,Waterloo & City,10472.0,11230.0,16083.0,16894.0,26555.0,28124.0,waterloo and city
2016-17,13,Bakerloo,72040.0,75562.0,202395.0,210080.0,274435.0,285642.0,bakerloo
2016-17,13,C&H,72346.0,75497.0,225284.0,235257.0,297631.0,310754.0,candh
2016-17,13,Central,264402.0,279997.0,722361.0,742532.0,986763.0,1022529.0,central
2016-17,13,District,203406.0,209108.0,544831.0,551540.0,748238.0,760648.0,district
2016-17,13,Jubilee,220957.0,222062.0,607458.0,610473.0,828415.0,832535.0,jubilee
2016-17,13,Metropolitan,168194.0,171993.0,421813.0,430400.0,590007.0,602393.0,metropolitan
2016-17,13,Northern,297089.0,298979.0,809268.0,813762.0,1106357.0,1112741.0,northern
2016-17,13,Piccadilly,237894.0,249641.0,679356.0,712427.0,917250.0,962068.0,piccadilly
2016-17,13,Victoria,167493.0,170705.0,410978.0,415237.0,578471.0,585942.0,victoria
2016-17,13,Waterloo & City,10638.0,11230.0,15965.0,16088.0,26602.0,27318.0,waterloo and city
2017-18,1,Bakerloo,70856.0,75022.0,220698.0,228955.0,291554.0,303977.0,bakerloo
2017-18,1,C&H,70964.0,72841.0,250512.0,257553.0,321476.0,330394.0,candh
2017-18,1,Central,265884.0,276833.0,794919.0,812955.0,1060802.0,1089788.0,central
2017-18,1,District,194132.0,199905.0,583395.0,592535.0,777528.0,792440.0,district
2017-18,1,Jubilee,213984.0,219083.0,655395.0,669840.0,869380.0,888923.0,jubilee
2017-18,1,Metropolitan,156725.0,159648.0,428531.0,436547.0,585256.0,596195.0,metropolitan
2017-18,1,Northern,294661.0,296243.0,907670.0,915083.0,1202331.0,1211327.0,northern
2017-18,1,Piccadilly,235576.0,245526.0,738377.0,778909.0,973953.0,1024435.0,piccadilly
2017-18,1,Victoria,156719.0,160620.0,420680.0,423176.0,577400.0,583797.0,victoria
2017-18,1,Waterloo & City,10034.0,10632.0,16629.0,16614.0,26662.0,27246.0,waterloo and city
2017-18,2,Bakerloo,72502.0,75349.0,216053.0,220781.0,288555.0,296130.0,bakerloo
2017-18,2,C&H,71986.0,75650.0,252395.0,266826.0,324382.0,342475.0,candh
2017-18,2,Central,260811.0,278491.0,761895.0,782135.0,1022706.0,1060626.0,central
2017-18,2,District,193512.0,198530.0,564051.0,576775.0,757563.0,775305.0,district
2017-18,2,Jubilee,218962.0,220653.0,639674.0,642680.0,858636.0,863333.0,jubilee
2017-18,2,Metropolitan,166164.0,169946.0,452478.0,459528.0,618642.0,629473.0,metropolitan
2017-18,2,Northern,290160.0,292594.0,848180.0,853648.0,1138340.0,1146241.0,northern
2017-18,2,Piccadilly,234162.0,247853.0,700210.0,749632.0,934372.0,997486.0,piccadilly
2017-18,2,Victoria,169000.0,170363.0,435543.0,437501.0,604542.0,607864.0,victoria
2017-18,2,Waterloo & City,10601.0,10934.0,16617.0,16751.0,27218.0,27685.0,waterloo and city
2017-18,3,Bakerloo,72640.0,75467.0,215898.0,220901.0,288538.0,296368.0,bakerloo
2017-18,3,C&H,64148.0,76065.0,198998.0,243992.0,263146.0,320057.0,candh
2017-18,3,Central,258564.0,278782.0,756308.0,781843.0,1014872.0,1060626.0,central
2017-18,3,District,196412.0,206671.0,532160.0,546265.0,728572.0,752936.0,district
2017-18,3,Jubilee,216295.0,220972.0,632547.0,642479.0,848842.0,863451.0,jubilee
2017-18,3,Metropolitan,167623.0,169696.0,451097.0,459843.0,618720.0,629539.0,metropolitan
2017-18,3,Northern,292953.0,298100.0,878397.0,889665.0,1171350.0,1187765.0,northern
2017-18,3,Piccadilly,228280.0,248291.0,685756.0,749300.0,914036.0,997592.0,piccadilly
2017-18,3,Victoria,169441.0,173713.0,432104.0,439947.0,601545.0,613660.0,victoria
2017-18,3,Waterloo & City,10518.0,10934.0,16555.0,16751.0,27073.0,27685.0,waterloo and city
2017-18,4,Bakerloo,73800.0,75746.0,215513.0,220951.0,289313.0,296697.0,bakerloo
2017-18,4,C&H,71839.0,76048.0,228403.0,241307.0,300242.0,317355.0,candh
2017-18,4,Central,260223.0,279856.0,753495.0,782410.0,1013717.0,1062266.0,central
2017-18,4,District,202244.0,209162.0,553628.0,564554.0,755872.0,773716.0,district
2017-18,4,Jubilee,217930.0,221925.0,628856.0,643117.0,846786.0,865042.0,jubilee
2017-18,4,Metropolitan,169146.0,171626.0,434019.0,440453.0,603165.0,612079.0,metropolitan
