Line,Actual KMs Total,Scheduled KMs Total,km_delivery_ratio
C&H,284102.78125,324403.921875,0.8757686393183344
Piccadilly,855532.6953125,956148.8046875,0.8947694031705823
Central,929837.8125,1023785.421875,0.9082350584725648
Bakerloo,250281.2109375,274390.7734375,0.912134208457663
Jubilee,764819.703125,831830.3359375,0.919441946371219
Metropolitan,586840.5078125,635411.0234375,0.923560476867022
Victoria,558696.53125,604229.6015625,0.9246427679233948
District,717413.484375,771075.6328125,0.9304061156208928
Northern,1111561.0703125,1162607.5625,0.9560931015468945
Waterloo & City,23578.646017699117,24251.239316239316,0.9722656112634288
