"Table 1410: Passenger entries, exits and interchanges by station, Great Britain, annual data, April 2024 to March 2025",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
This worksheet contains one table. Some cells refer to notes which can be found on the notes worksheet.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Some shorthand is used in this table, [z] = data not applicable",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Station name,"Entries and exits: 
Full price tickets","Entries and exits: 
Reduced price tickets","Entries and exits:
Season tickets","Entries and exits:
All tickets","Entries and exits:
Rank",Interchanges,Main origin or destination station,Number of journeys to or from main origin or destination station,Data source or adjustments,Estimates supplemented by local ticketing data or by retailing organisation,Quality limitations,Additional information,National Location Code (NLC),"Three Letter Code
(TLC)",Region,Station facility owner,Station group
Abbey Wood,"3,782,112","6,137,708","1,953,866","11,873,686",39,"1,879,075",Tottenham Court Road,"1,861,410",EL,[z],[z],[z],5131,ABW,London,Elizabeth line,[z]
Aber,"111,988","6,028","27,218","145,234","1,564",0,Cardiff Central,"61,624",[z],[z],[z],[z],3813,ABE,Wales,TfW Rail,[z]
Abercynon,"149,282","7,362","33,176","189,820","1,427","19,118",Cardiff Central,"66,154",[z],[z],[z],[z],3801,ACY,Wales,TfW Rail,[z]
Aberdare,"240,226","19,810","81,402","341,438","1,093",0,Cardiff Central,"122,722",[z],[z],[z],[z],3982,ABA,Wales,TfW Rail,[z]
Aberdeen,"722,918","1,548,878","105,864","2,377,660",242,"218,903",Edinburgh,"272,086",CS,[z],[z],[z],8976,ABD,Scotland,ScotRail,[z]
Aberdour,"49,830","62,712","4,420","116,962","1,687",0,Edinburgh,"67,760",CS,[z],[z],[z],9090,AUR,Scotland,ScotRail,[z]
Aberdovey,"25,664","24,134",40,"49,838","2,048",0,Tywyn,"12,120",Other,[z],[z],[z],4435,AVY,Wales,TfW Rail,[z]
Abererch,"1,744","1,808",0,"3,552","2,471",0,Pwllheli,"1,504",[z],[z],[z],[z],4440,ABH,Wales,TfW Rail,[z]
Abergavenny,"182,910","188,276","52,130","423,316",954,0,Cardiff Central,"89,746",[z],[z],[z],[z],3602,AGV,Wales,TfW Rail,[z]
Abergele and Pensarn,"39,838","59,392","5,692","104,922","1,742",0,Chester,"12,682",[z],[z],[z],[z],2448,AGL,Wales,TfW Rail,[z]
Aberystwyth,"104,714","192,426","1,738","298,878","1,161",0,Borth,"41,666",Other,[z],[z],[z],4303,AYW,Wales,TfW Rail,[z]
Accrington,"128,150","306,466","69,178","503,794",862,0,Blackburn,"78,634",[z],[z],[z],[z],2552,ACR,North West,Northern Trains,[z]
Achanalt,454,96,0,550,"2,564",0,Dingwall,380,AutoTOD,[z],[z],[z],8600,AAT,Scotland,ScotRail,[z]
Achnasheen,"2,128","1,120",92,"3,340","2,477",0,Inverness,"1,674",AutoTOD,[z],[z],[z],8601,ACN,Scotland,ScotRail,[z]
Achnashellach,662,228,0,890,"2,547",0,Inverness,418,AutoTOD,[z],[z],[z],8602,ACH,Scotland,ScotRail,[z]
Acklington,498,358,0,856,"2,549",0,Newcastle,468,[z],[z],[z],[z],7662,ACK,North East,Northern Trains,[z]
Acle,"16,344","27,576","3,962","47,882","2,060",0,Norwich,"25,796",[z],[z],[z],[z],7286,ACL,East of England,Greater Anglia,[z]
Acocks Green,"131,358","177,132","109,260","417,750",959,0,Birmingham Moor Street,"254,410",PTE,West Midlands,[z],[z],4529,ACG,West Midlands,West Midlands Trains (West Midlands Railway),[z]
Acton Bridge (Cheshire),"30,528","21,944","2,508","54,980","2,010",0,Liverpool Lime Street,"15,382",[z],[z],[z],[z],2287,ACB,North West,West Midlands Trains (London Northwestern Railway),[z]
Acton Central,"514,990","845,964","213,056","1,574,010",347,0,Richmond (London),"160,724",[z],[z],[z],[z],1404,ACC,London,London Overground,[z]
Acton Main Line,"873,976","1,520,638","304,850","2,699,464",206,0,Bond Street,"466,372",EL,[z],[z],[z],3000,AML,London,Elizabeth line,[z]
Adderley Park,"63,730","54,210","29,240","147,180","1,556",0,Birmingham New Street,"105,748",PTE,West Midlands,[z],[z],1036,ADD,West Midlands,West Midlands Trains (West Midlands Railway),[z]
Addiewell,"7,566","8,764","2,166","18,496","2,292",0,Edinburgh,"7,492",CS,[z],[z],[z],9310,ADW,Scotland,ScotRail,[z]
Addlestone,"149,228","172,918","59,966","382,112","1,009",0,London Waterloo,"87,932",[z],[z],[z],[z],5550,ASN,South East,South Western Railway,[z]
Adisham,"7,854","10,612","8,090","26,556","2,224",0,Canterbury East,"15,394",[z],[z],[z],[z],5160,ADM,South East,Southeastern,[z]
Adlington (Cheshire),"6,618","16,748","1,344","24,710","2,235",0,Manchester Piccadilly,"11,742",[z],[z],[z],[z],2939,ADC,North West,Northern Trains,[z]
Adlington (Lancashire),"36,114","103,920","26,726","166,760","1,495",0,Manchester Piccadilly,"43,636",[z],[z],[z],[z],2641,ADL,North West,Northern Trains,[z]
Adwick,"63,988","69,338","42,652","175,978","1,467",0,Doncaster,"52,118",PTE,South Yorkshire,[z],[z],8353,AWK,Yorkshire and The Humber,Northern Trains,[z]
