Financial Year,Period,Line,Service Operated for Period - Weekday,Service Operated Year to Date - Weekday,Service Operated for Period - Weekend,Service Operated Year to Date - Weekend,Service Operated for Period - All Week,Service Operated Year to Date - All Week,Line_clean
2018-19,1,Bakerloo,97.5,97.5,96.0,96.0,97.1,97.1,bakerloo
2018-19,1,Central,95.9,95.9,97.0,97.0,96.2,96.2,central
2018-19,1,Circle Hammersmith & City,96.2,96.2,96.8,96.8,96.3,96.3,circle hammersmith and city
2018-19,1,District,95.7,95.7,99.1,99.1,96.6,96.6,district
2018-19,1,Jubilee,89.1,89.1,83.3,83.3,87.6,87.6,jubilee
2018-19,1,Metropolitan,93.9,93.9,97.4,97.4,94.8,94.8,metropolitan
2018-19,1,Northern,97.5,97.5,98.6,98.6,97.8,97.8,northern
2018-19,1,Piccadilly,94.6,94.6,96.5,96.5,95.1,95.1,piccadilly
2018-19,1,Victoria,99.0,99.0,98.4,98.4,98.9,98.9,victoria
2018-19,1,Network,95.8,95.8,95.9,95.9,95.8,95.8,network
2018-19,2,Bakerloo,97.0,97.3,98.7,97.3,97.4,97.3,bakerloo
2018-19,2,Central,96.2,96.1,95.4,96.2,96.0,96.1,central
2018-19,2,Circle Hammersmith & City,98.4,97.3,99.4,97.8,98.6,97.4,circle hammersmith and city
2018-19,2,District,96.7,96.2,99.5,99.2,97.4,96.9,district
2018-19,2,Jubilee,91.6,90.4,87.3,85.3,90.5,89.0,jubilee
2018-19,2,Metropolitan,95.9,94.9,99.5,98.4,96.7,95.7,metropolitan
2018-19,2,Northern,98.1,97.8,98.9,98.7,98.3,98.0,northern
2018-19,2,Piccadilly,97.0,95.8,94.2,95.3,96.2,95.7,piccadilly
2018-19,2,Victoria,98.6,98.8,96.7,97.5,98.1,98.5,victoria
2018-19,2,Network,96.6,96.2,96.2,96.0,96.5,96.2,network
2018-19,3,Bakerloo,95.9,96.8,98.1,97.6,96.5,97.0,bakerloo
2018-19,3,Central,92.8,95.0,94.6,95.7,93.3,95.2,central
2018-19,3,Circle Hammersmith & City,98.3,97.6,91.2,95.7,96.6,97.2,circle hammersmith and city
2018-19,3,District,97.0,96.5,98.8,99.1,97.4,97.1,district
2018-19,3,Jubilee,98.6,93.1,98.1,89.5,98.5,92.2,jubilee
2018-19,3,Metropolitan,94.8,94.9,98.9,98.6,95.8,95.7,metropolitan
2018-19,3,Northern,98.1,97.9,99.3,98.9,98.4,98.2,northern
2018-19,3,Piccadilly,95.7,95.8,95.2,95.3,95.6,95.7,piccadilly
2018-19,3,Victoria,95.8,97.8,95.9,97.0,95.9,97.6,victoria
