station,degree_centrality,betweenness_centrality,closeness_centrality
baker street,0.025830258302583026,0.35438090465560723,0.11439425918108907
green park,0.02214022140221402,0.3418789576784653,0.11818578281726995
waterloo,0.02214022140221402,0.282363901416792,0.10879164993978321
liverpool street,0.01845018450184502,0.2724235797913536,0.10025897151313355
westminster,0.014760147601476014,0.25845542344312333,0.11263507896924356
bank,0.01845018450184502,0.2527556831123866,0.10528360528360528
bond street,0.014760147601476014,0.24339507257506438,0.11601027397260275
bethnal green,0.007380073800738007,0.23361714728258406,0.09367438645005186
mile end,0.014760147601476014,0.23309598651542093,0.08795845504706264
stratford,0.01107011070110701,0.22219898865655352,0.08272283272283272
finchley road,0.01845018450184502,0.2089433391688414,0.105859375
earls court,0.02214022140221402,0.20597169887042785,0.09290366815221117
kings cross st. pancras,0.025830258302583026,0.1955828891622253,0.10610806577916992
edgware road (circle line),0.01107011070110701,0.18844016217939963,0.1090104585679807
wembley park,0.01845018450184502,0.18210173741949054,0.09825960841189267
euston,0.014760147601476014,0.17539838731720647,0.10371220818982013
paddington,0.014760147601476014,0.16182634048562702,0.10363288718929255
south kensington,0.01107011070110701,0.1533955064418369,0.0998158379373849
gloucester road,0.01107011070110701,0.15055281134821927,0.096201632942847
harrow-on-the-hill,0.01107011070110701,0.15016241802629662,0.0822957789249924
victoria,0.014760147601476014,0.1500793759260344,0.11115668580803938
preston road,0.007380073800738007,0.14446336103572674,0.09167794316644114
oxford circus,0.02214022140221402,0.14439661063277318,0.11444256756756757
barons court,0.01107011070110701,0.14037104286386778,0.08727858293075684
notting hill gate,0.014760147601476014,0.1399526217484397,0.09741193386053199
camden town,0.014760147601476014,0.13992073254065873,0.09535538353272344
northwick park,0.007380073800738007,0.13965264626191234,0.08644338118022328
hammersmith (distandpicc line),0.01107011070110701,0.1365443379301518,0.08279865566758325
leyton,0.007380073800738007,0.13087330873308733,0.07725199543899658
turnham green,0.01845018450184502,0.1303122756095286,0.07903178769320501
leytonstone,0.01107011070110701,0.12544758780921142,0.07242116515232495
warren street,0.01107011070110701,0.11531000865564196,0.10660896931549961
acton town,0.014760147601476014,0.11388477800121917,0.07544543429844099
sloane square,0.007380073800738007,0.10149389007117578,0.10451214809101426
highbury and islington,0.007380073800738007,0.0942736094027607,0.0969241773962804
west ham,0.014760147601476014,0.09181996264407083,0.07722998005129666
finsbury park,0.014760147601476014,0.08935356020226869,0.0892034233048058
bayswater,0.007380073800738007,0.0865176985103184,0.09794000722804481
warwick avenue,0.007380073800738007,0.08495284952849529,0.09472212513107305
moorgate,0.014760147601476014,0.08484579290237342,0.10033320992225102
great portland street,0.007380073800738007,0.08042549314382028,0.10870437224227839
rayners lane,0.01107011070110701,0.07919754171086683,0.07449147883452446
