station_id,station_name,lat,lon,zone,station_name_clean
0400ZZLUAMS0,amersham,51.674206,-0.607362,,amersham
0400ZZLUCAL0,chalfont and latimer,51.667915,-0.560616,,chalfont and latimer
0400ZZLUCSM0,chesham,51.705227,-0.611113,,chesham
2100ZZLUCXY0,croxley,51.647069,-0.441746,,croxley
2100ZZLUCYD0,chorleywood,51.654292,-0.518319,,chorleywood
2100ZZLUMPK0,moor park,51.629693,-0.432704,,moor park
2100ZZLURKW0,rickmansworth,51.640385,-0.473654,,rickmansworth
2100ZZLUWAF0,watford,51.657531,-0.417157,,watford
4900ZZLUACT1,acton town,51.50301,-0.28042,,acton town
4900ZZLUACY1,archway,51.56568,-0.13493,,archway
4900ZZLUADE1,aldgate east,51.5153,-0.07208,,aldgate east
4900ZZLUAGL1,angel,51.53184,-0.10635,,angel
4900ZZLUALD1,aldgate,51.51405,-0.07528,,aldgate
4900ZZLUALP1,alperton,51.54063,-0.29913,,alperton
4900ZZLUASG1,arnos grove,51.61606,-0.1334,,arnos grove
4900ZZLUASL1,arsenal,51.5584,-0.10568,,arsenal
4900ZZLUBBB1,bromley by bow,51.52473,-0.01144,,bromley by bow
4900ZZLUBBN1,barbican,51.52031,-0.09753,,barbican
4900ZZLUBDS1,bounds green,51.60693,-0.12456,,bounds green
4900ZZLUBEC1,becontree,51.5404,0.12751,,becontree
4900ZZLUBKE1,barkingside,51.58582,0.08836,,barkingside
4900ZZLUBLG1,bethnal green,51.52732,-0.05527,,bethnal green
4900ZZLUBLM1,balham,51.44323,-0.15294,,balham
4900ZZLUBMY1,bermondsey,51.49814,-0.06363,,bermondsey
4900ZZLUBND1,bond street,51.51452,-0.14914,,bond street
4900ZZLUBOR1,borough,51.50123,-0.0934,,borough
4900ZZLUBOS1,boston manor,51.49585,-0.32446,,boston manor
4900ZZLUBSC1,barons court,51.49037,-0.21355,,barons court
4900ZZLUBST1,baker street,51.52246,-0.15695,,baker street
4900ZZLUBTK1,burnt oak,51.60259,-0.26398,,burnt oak
4900ZZLUBTX1,brent cross,51.57707,-0.21336,,brent cross
4900ZZLUBWR1,bow road,51.52712,-0.02501,,bow road
4900ZZLUBWT1,bayswater,51.51239,-0.18769,,bayswater
4900ZZLUBXN1,brixton,51.46265,-0.11496,,brixton
4900ZZLUBZP1,belsize park,51.55041,-0.16447,,belsize park
4900ZZLUCAR1,caledonian road,51.54857,-0.11812,,caledonian road
4900ZZLUCFM1,chalk farm,51.54395,-0.15351,,chalk farm
4900ZZLUCGN1,covent garden,51.51307,-0.12423,,covent garden
4900ZZLUCHL1,chancery lane,51.51811,-0.1115,,chancery lane
4900ZZLUCHX1,charing cross,51.50824,-0.12512,,charing cross
4900ZZLUCHX2,charing cross stn,51.50857,-0.12469,,charing cross stn
4900ZZLUCKS1,cockfosters,51.65186,-0.14975,,cockfosters
4900ZZLUCND1,colindale,51.59533,-0.24992,,colindale
4900ZZLUCPC1,clapham common,51.46181,-0.13847,,clapham common
4900ZZLUCPK1,canons park,51.60756,-0.29444,,canons park
4900ZZLUCPN1,clapham north,51.46518,-0.12955,,clapham north
4900ZZLUCPS1,clapham south,51.4529,-0.14767,,clapham south
4900ZZLUCSD1,colliers wood,51.41805,-0.17819,,colliers wood
4900ZZLUCST,cannon street,51.51127,-0.09028,,cannon street
4900ZZLUCTN1,camden town,51.5393,-0.14249,,camden town
4900ZZLUCWP1,chiswick park,51.49436,-0.26739,,chiswick park
4900ZZLUCYF1,canary wharf,51.50352,-0.02,,canary wharf
4900ZZLUDGE1,dagenham east,51.54423,0.16601,,dagenham east
4900ZZLUDGY1,dagenham heathway,51.54176,0.14778,,dagenham heathway
4900ZZLUDOH1,dollis hill,51.5525,-0.23876,,dollis hill
4900ZZLUEAC1,elephant and castle,51.49573,-0.10083,,elephant and castle
4900ZZLUEAE1,eastcote,51.57645,-0.39725,,eastcote
4900ZZLUEAN1,east acton,51.51659,-0.24749,,east acton
4900ZZLUECM1,ealing common,51.51032,-0.28817,,ealing common
4900ZZLUECT1,earls court,51.4922,-0.19319,,earls court
4900ZZLUEFY1,east finchley,51.58704,-0.16428,,east finchley
4900ZZLUEGW1,edgware bus,51.61366,-0.27582,,edgware bus
4900ZZLUEGW2,edgware,51.61343,-0.27582,,edgware
4900ZZLUEHM1,east ham,51.53929,0.05127,,east ham
4900ZZLUEMB1,embankment,51.50738,-0.12257,,embankment
4900ZZLUEPK1,elm park,51.54992,0.19922,,elm park
4900ZZLUEPY1,east putney,51.45916,-0.21074,,east putney
4900ZZLUERB1,edgware road,51.52021,-0.17027,,edgware road
4900ZZLUESQ1,euston square,51.52581,-0.13575,,euston square
4900ZZLUFBY1,fulham broadway,51.4801,-0.19541,,fulham broadway
4900ZZLUFCN1,farringdon,51.5201,-0.1047,,farringdon
4900ZZLUFLP1,fairlop,51.59557,0.09071,,fairlop
4900ZZLUFPK1,finsbury park,51.56521,-0.10779,,finsbury park
4900ZZLUFYC1,finchley central,51.60109,-0.19235,,finchley central
4900ZZLUFYR1,finchley road,51.54688,-0.17976,,finchley road
4900ZZLUGDG1,goodge street,51.52067,-0.1345,,goodge street
4900ZZLUGGN1,golders green,51.57253,-0.194,,golders green
4900ZZLUGHK1,goldhawk road,51.50193,-0.22731,,goldhawk road
4900ZZLUGPK1,green park,51.50673,-0.14274,,green park
4900ZZLUGPS1,great portland street,51.52388,-0.1439,,great portland street
4900ZZLUGPS2,great portland st stn,51.52374,-0.1437,,great portland st stn
4900ZZLUGTH1,gants hill,51.57745,0.06561,,gants hill
4900ZZLUGTR1,gloucester road,51.49433,-0.18258,,gloucester road
4900ZZLUHBN1,holborn,51.51736,-0.11999,,holborn
4900ZZLUHBT1,high barnet,51.65047,-0.19442,,high barnet
4900ZZLUHCH1,hornchurch,51.5541,0.21925,,hornchurch
4900ZZLUHCL1,hendon central,51.58298,-0.22694,,hendon central
