station_id,station_name,lat,lon,zone
0400ZZLUAMS0,Amersham Underground Station,51.674206,-0.607362,
0400ZZLUCAL0,Chalfont & Latimer Underground Station,51.667915,-0.560616,
0400ZZLUCAL1,Chalfont & Latimer Underground Station,51.668122,-0.560624,
0400ZZLUCSM0,Chesham Underground Station,51.705227,-0.611113,
2100ZZLUCXY0,Croxley Underground Station,51.647069,-0.441746,
2100ZZLUCYD0,Chorleywood Underground Station,51.654292,-0.518319,
2100ZZLUCYD1,Chorleywood Underground Station,51.654141,-0.518511,
2100ZZLUMPK0,Moor Park Underground Station,51.629693,-0.432704,
2100ZZLUMPK1,Moor Park Underground Station,51.629782,-0.431964,
2100ZZLURKW0,Rickmansworth Underground Station,51.640385,-0.473654,
2100ZZLUWAF0,Watford Underground Station,51.657531,-0.417157,
4900ZZLUACT1,Acton Town Station,51.50301,-0.28042,
4900ZZLUACT2,Acton Town Station,51.50324,-0.27991,
4900ZZLUACY1,Archway Station,51.56568,-0.13493,
4900ZZLUACY2,Archway Station,51.56524,-0.13476,
4900ZZLUACY3,Archway Station,51.56491,-0.13502,
4900ZZLUADE1,Aldgate East Station,51.5153,-0.07208,
4900ZZLUADE2,Aldgate East Station,51.51472,-0.07088,
4900ZZLUADE3,Aldgate East Station,51.51513,-0.07172,
4900ZZLUADE4,Aldgate East Station,51.51511,-0.07182,
4900ZZLUADE5,Aldgate East Station,51.5158,-0.06997,
4900ZZLUADE6,Aldgate East Station,51.51602,-0.07002,
4900ZZLUAGL1,Angel Station,51.53184,-0.10635,
4900ZZLUAGL2,Angel Station,51.53279,-0.10599,
4900ZZLUALD1,Aldgate Station,51.51405,-0.07528,
4900ZZLUALP1,Alperton Station,51.54063,-0.29913,
4900ZZLUASG1,Arnos Grove Station,51.61606,-0.1334,
4900ZZLUASL1,Arsenal,51.5584,-0.10568,
4900ZZLUBBB1,Bromley By Bow Station,51.52473,-0.01144,
4900ZZLUBBB2,Bromley By Bow Station,51.52478,-0.01107,
4900ZZLUBBN1,Barbican Station,51.52031,-0.09753,
4900ZZLUBDS1,Bounds Green Station,51.60693,-0.12456,
4900ZZLUBDS2,Bounds Green Station,51.60693,-0.1243,
4900ZZLUBEC1,Becontree Station,51.5404,0.12751,
4900ZZLUBKE1,Barkingside Station,51.58582,0.08836,
4900ZZLUBLG1,Bethnal Green Station,51.52732,-0.05527,
4900ZZLUBLG2,Bethnal Green Station,51.52781,-0.05545,
4900ZZLUBLG3,Bethnal Green Station,51.52717,-0.05544,
4900ZZLUBLG4,Bethnal Green Station,51.52739,-0.0556,
4900ZZLUBLM1,Balham Station  / Balham Station Road,51.44323,-0.15294,
4900ZZLUBLM2,Balham Station,51.44328,-0.15307,
4900ZZLUBLM3,Balham Station  / Balham Station Road,51.44351,-0.15319,
4900ZZLUBLM4,Balham Station,51.44324,-0.15222,
4900ZZLUBMY1,Bermondsey Station,51.49814,-0.06363,
4900ZZLUBND1,Bond Street Station,51.51452,-0.14914,
4900ZZLUBND2,Bond Street Station,51.51439,-0.1489,
4900ZZLUBND3,Bond Street Station,51.51436,-0.14933,
4900ZZLUBND4,Bond Street Station,51.51378,-0.14993,
4900ZZLUBND5,Bond Street Station,51.51404,-0.1491,
4900ZZLUBND6,Bond Street Station,51.51433,-0.14966,
4900ZZLUBND7,Bond Street Station,51.51441,-0.14735,
4900ZZLUBOR1,Borough Station,51.50123,-0.0934,
4900ZZLUBOR2,Borough Station,51.50028,-0.09218,
4900ZZLUBOS1,Boston Manor Station,51.49585,-0.32446,
4900ZZLUBSC1,Barons Court,51.49037,-0.21355,
4900ZZLUBST1,Baker Street Station,51.52246,-0.15695,
4900ZZLUBST2,Baker Street Station,51.52222,-0.15628,
4900ZZLUBST3,Baker Street Station,51.52268,-0.1577,
4900ZZLUBST4,Baker Street Station,51.52232,-0.15738,
4900ZZLUBTK1,Burnt Oak Station,51.60259,-0.26398,
4900ZZLUBTX1,Brent Cross Station,51.57707,-0.21336,
4900ZZLUBTX2,Brent Cross Station,51.57674,-0.21319,
4900ZZLUBWR1,Bow Road Station,51.52712,-0.02501,
4900ZZLUBWT1,Bayswater Station,51.51239,-0.18769,
4900ZZLUBXN1,Brixton Station,51.46265,-0.11496,
4900ZZLUBZP1,Belsize Park Station,51.55041,-0.16447,
4900ZZLUCAR1,Caledonian Road Station,51.54857,-0.11812,
4900ZZLUCFM1,Chalk Farm Station,51.54395,-0.15351,
4900ZZLUCGN1,Covent Garden Station,51.51307,-0.12423,
4900ZZLUCGN2,Covent Garden Station,51.51302,-0.12401,
4900ZZLUCHL1,Chancery Lane Station,51.51811,-0.1115,
4900ZZLUCHL2,Chancery Lane Station,51.51823,-0.11147,
4900ZZLUCHL3,Chancery Lane Station,51.51818,-0.11111,
4900ZZLUCHX1,Charing Cross Station,51.50824,-0.12512,
4900ZZLUCHX2,Charing Cross Stn  / Trafalgar Square,51.50857,-0.12469,
4900ZZLUCHX3,Charing Cross Station,51.50894,-0.12484,
4900ZZLUCHX4,Charing Cross Stn  / Trafalgar Square,51.50844,-0.12587,
4900ZZLUCHX5,Charing Cross Station,51.50933,-0.12466,
4900ZZLUCHX6,Charing Cross Stn  / Trafalgar Square,51.50868,-0.12489,
4900ZZLUCHX7,Charing Cross Station,51.50819,-0.12562,
4900ZZLUCHX8,Charing Cross Stn  / Trafalgar Square,51.50785,-0.12716,
4900ZZLUCHX9,Charing Cross Station,51.50769,-0.12745,
4900ZZLUCHXA,Charing Cross Stn  / Trafalgar Square,51.50902,-0.12581,
4900ZZLUCHXB,Charing Cross Station,51.50731,-0.12841,
4900ZZLUCHXC,Charing Cross Stn  / Trafalgar Square,51.50779,-0.12709,
4900ZZLUCKS1,Cockfosters Station,51.65186,-0.14975,
4900ZZLUCKS2,Cockfosters Station,51.65147,-0.1501,
4900ZZLUCKS3,Cockfosters Station,51.65155,-0.14981,
4900ZZLUCKS4,Cockfosters Station,51.6513,-0.14931,
4900ZZLUCND1,Colindale Station,51.59533,-0.24992,
4900ZZLUCPC1,Clapham Common Station,51.46181,-0.13847,
4900ZZLUCPC2,Clapham Common Station,51.46159,-0.13819,
4900ZZLUCPC3,Clapham Common Station,51.4617,-0.13833,
4900ZZLUCPK1,Canons Park Station,51.60756,-0.29444,
4900ZZLUCPK2,Canons Park Station,51.60754,-0.29476,
4900ZZLUCPN1,Clapham North Station,51.46518,-0.12955,
4900ZZLUCPS1,Clapham South Station,51.4529,-0.14767,
4900ZZLUCSD1,Colliers Wood Station,51.41805,-0.17819,
4900ZZLUCSD2,Colliers Wood Station,51.41826,-0.178,
4900ZZLUCST,Cannon Street Station,51.51127,-0.09028,
4900ZZLUCST1,Cannon Street Station,51.51158,-0.09079,
4900ZZLUCTN1,Camden Town Station,51.5393,-0.14249,
4900ZZLUCTN2,Camden Town Station,51.53925,-0.14277,
4900ZZLUCWP1,Chiswick Park,51.49436,-0.26739,
4900ZZLUCWP2,Chiswick Park,51.49425,-0.26764,
4900ZZLUCWP3,Chiswick Park,51.49434,-0.26804,
4900ZZLUCYF1,Canary Wharf Station,51.50352,-0.02,
4900ZZLUCYF2,Canary Wharf Station,51.50344,-0.01603,
4900ZZLUCYF3,Canary Wharf Station,51.50345,-0.01748,
4900ZZLUDGE1,Dagenham East Station,51.54423,0.16601,
4900ZZLUDGY1,Dagenham Heathway Station,51.54176,0.14778,
4900ZZLUDOH1,Dollis Hill Station,51.5525,-0.23876,
4900ZZLUDOH2,Dollis Hill Station,51.55151,-0.23917,
4900ZZLUEAC1,Elephant & Castle Station,51.49573,-0.10083,
4900ZZLUEAC2,Elephant & Castle Station,51.49448,-0.10046,
4900ZZLUEAE1,Eastcote Station,51.57645,-0.39725,
4900ZZLUEAE2,Eastcote Station,51.57653,-0.39731,
4900ZZLUEAN1,East Acton Station,51.51659,-0.24749,
4900ZZLUECM1,Ealing Common Station,51.51032,-0.28817,
4900ZZLUECT1,Earl's Court Station,51.4922,-0.19319,
4900ZZLUECT2,Earl's Court Station,51.49029,-0.19578,
4900ZZLUEFY1,East Finchley Station,51.58704,-0.16428,
4900ZZLUEFY2,East Finchley Station,51.58669,-0.16471,
4900ZZLUEGW1,Edgware Bus Station,51.61366,-0.27582,
4900ZZLUEGW2,Edgware Station,51.61343,-0.27582,
4900ZZLUEHM1,East Ham Station,51.53929,0.05127,
4900ZZLUEHM2,East Ham Station,51.53896,0.05139,
4900ZZLUEMB1,Embankment Station,51.50738,-0.12257,
4900ZZLUEMB2,Embankment Station,51.50697,-0.12191,
4900ZZLUEPK1,Elm Park Station,51.54992,0.19922,
4900ZZLUEPY1,East Putney Station,51.45916,-0.21074,
4900ZZLUERB1,Edgware Road Station  / Bakerloo Line,51.52021,-0.17027,
4900ZZLUERC1,Edgware Road Station,51.51967,-0.16803,
4900ZZLUERC2,Edgware Road Station,51.52047,-0.1665,
4900ZZLUESQ1,Euston Square Station,51.52581,-0.13575,
4900ZZLUESQ2,Euston Square Station,51.52533,-0.13557,
4900ZZLUFBY1,Fulham Broadway Station,51.4801,-0.19541,
4900ZZLUFCN1,Farringdon Station,51.5201,-0.1047,
4900ZZLUFCN2,Farringdon Station,51.52112,-0.10522,
4900ZZLUFLP1,Fairlop Station,51.59557,0.09071,
4900ZZLUFPK1,Finsbury Park Station,51.56521,-0.10779,
4900ZZLUFPK2,Finsbury Park Station,51.56376,-0.10678,
4900ZZLUFPK3,Finsbury Park Station,51.56449,-0.10577,
4900ZZLUFPK4,Finsbury Park Station,51.56464,-0.10728,
4900ZZLUFYC1,Finchley Central Station,51.60109,-0.19235,
4900ZZLUFYC2,Finchley Central,51.60061,-0.19294,
4900ZZLUFYR1,Finchley Road Station,51.54688,-0.17976,
4900ZZLUGDG1,Goodge Street Station,51.52067,-0.1345,
4900ZZLUGGN1,Golders Green Station,51.57253,-0.194,
4900ZZLUGGN2,Golders Green Station,51.57203,-0.19441,
4900ZZLUGHK1,Goldhawk Road Station,51.50193,-0.22731,
4900ZZLUGHK2,Goldhawk Road Station,51.50197,-0.22647,
4900ZZLUGPK1,Green Park Station,51.50673,-0.14274,
4900ZZLUGPK2,Green Park Station,51.50647,-0.14314,
4900ZZLUGPK3,Green Park Station,51.50684,-0.14283,
4900ZZLUGPK4,Green Park Station,51.50685,-0.14298,
4900ZZLUGPK5,Green Park Station,51.50652,-0.14291,
4900ZZLUGPS1,Great Portland Street Station,51.52388,-0.1439,
4900ZZLUGPS2,Great Portland St Stn  / Euston Rd,51.52374,-0.1437,
4900ZZLUGTH1,Gants Hill Station,51.57745,0.06561,
4900ZZLUGTH2,Gants Hill Station,51.57725,0.06554,
4900ZZLUGTH3,Gants Hill Station,51.57726,0.06597,
4900ZZLUGTH4,Gants Hill Station,51.57695,0.06633,
4900ZZLUGTH5,Gants Hill Station,51.57659,0.06684,
4900ZZLUGTH6,Gants Hill Station,51.57642,0.06746,
4900ZZLUGTH7,Gants Hill Station,51.57625,0.06715,
4900ZZLUGTH8,Gants Hill Station,51.57633,0.06664,
4900ZZLUGTH9,Gants Hill Station,51.5764,0.06572,
4900ZZLUGTHA,Gants Hill Station,51.57664,0.06553,
4900ZZLUGTR1,Gloucester Road Station,51.49433,-0.18258,
4900ZZLUGTR2,Gloucester Road Station,51.4946,-0.18272,
4900ZZLUHBN1,Holborn Station,51.51736,-0.11999,
4900ZZLUHBN2,Holborn Station,51.51759,-0.11998,
4900ZZLUHBT1,High Barnet Station,51.65047,-0.19442,
4900ZZLUHBT2,High Barnet Station,51.65028,-0.19416,
4900ZZLUHCH1,Hornchurch Station,51.5541,0.21925,
4900ZZLUHCL1,Hendon Central Station,51.58298,-0.22694,
4900ZZLUHGD1,Hillingdon Station,51.55372,-0.44813,
4900ZZLUHGD2,Hillingdon Station,51.55391,-0.4494,
4900ZZLUHGD3,Hillingdon Station,51.55365,-0.44976,
4900ZZLUHGD4,Hillingdon Station,51.55372,-0.44937,
4900ZZLUHGR1,Hanger Lane Station,51.53013,-0.29275,
4900ZZLUHGR2,Hanger Lane Station,51.52988,-0.29231,
4900ZZLUHGR3,Hanger Lane Station,51.52956,-0.29303,
4900ZZLUHGR4,Hanger Lane Station,51.52943,-0.29224,
4900ZZLUHGT1,Highgate Station,51.57781,-0.14553,
4900ZZLUHGT2,Highgate Station,51.57767,-0.14701,
4900ZZLUHGT3,Highgate Station,51.57759,-0.14598,
4900ZZLUHNX1,Hatton Cross Station,51.46653,-0.42297,
4900ZZLUHNX2,Hatton Cross Station,51.46695,-0.42293,
4900ZZLUHPC1,Hyde Park Corner,51.50493,-0.15203,
4900ZZLUHPC2,Hyde Park Corner Station,51.50308,-0.15142,
4900ZZLUHPC3,Hyde Park Corner,51.50307,-0.15277,
4900ZZLUHPC4,Hyde Park Corner Station,51.50274,-0.15309,
4900ZZLUHPC5,Hyde Park Corner,51.50298,-0.15169,
4900ZZLUHPC6,Hyde Park Corner Station,51.50272,-0.1526,
4900ZZLUHPC7,Hyde Park Corner,51.50307,-0.15325,
4900ZZLUHPK1,Holland Park Station,51.50742,-0.20564,
4900ZZLUHPK2,Holland Park,51.50728,-0.20562,
4900ZZLUHRC1,Heathrow Terminals 2 & 3 Underground Station,51.47235,-0.45198,
4900ZZLUHRC2,Heathrow Terminals 2 & 3 Underground Station,51.47145,-0.45471,
4900ZZLUHRC3,Heathrow Terminals 2 & 3 Underground Station,51.47108,-0.45476,
4900ZZLUHRC4,Heathrow Terminals 2 & 3 Underground Station,51.46944,-0.451,
4900ZZLUHRC5,Heathrow Terminals 2 & 3 Underground Station,51.46944,-0.451,
4900ZZLUHRCZ,Heathrow Terminals 2 & 3 Underground Station,51.47115,-0.45225,
4900ZZLUHSC1,Hammersmith Stn / H&c and Circle Lines,51.49339,-0.22503,
4900ZZLUHSC2,Hammersmith Stn / H&c and Circle Lines,51.49331,-0.2243,
4900ZZLUHSD1,Hammersmith (District and Piccadilly) Station,51.4926,-0.22424,
4900ZZLUHSD2,Hammersmith (District and Piccadilly) Station,51.49192,-0.22362,
4900ZZLUHSK1,High Street Kensington Station,51.50103,-0.19292,
4900ZZLUHTD1,Hampstead Station,51.55663,-0.17836,
4900ZZLUHTD2,Hampstead Station,51.5568,-0.17835,
4900ZZLUHWC1,Hounslow Central Station,51.4712,-0.36701,
4900ZZLUHWE1,Hounslow East Station,51.47331,-0.3568,
4900ZZLUHWT1,Hounslow West Station,51.47305,-0.38564,
4900ZZLUHWY1,Holloway Road Station,51.5529,-0.11274,
4900ZZLUICK1,Ickenham Station,51.56202,-0.4419,
4900ZZLUKBN1,Kilburn Station,51.54693,-0.20409,
4900ZZLUKBY1,Kingsbury Station,51.58498,-0.2787,
4900ZZLUKNB1,Knightsbridge Station,51.50196,-0.16034,
4900ZZLUKNB2,Knightsbridge Station,51.50176,-0.16003,
4900ZZLUKNB3,Knightsbridge Station,51.50169,-0.16088,
4900ZZLUKNB4,Knightsbridge Station,51.49991,-0.16261,
4900ZZLUKNB5,Knightsbridge Station,51.50111,-0.16126,
4900ZZLUKNG1,Kennington Station,51.48834,-0.1058,
4900ZZLUKNG2,Kennington Station,51.48816,-0.10541,
4900ZZLUKPK1,Kilburn Park Station,51.53505,-0.19358,
4900ZZLUKSX1,King's Cross Station,51.5302,-0.12385,
