station_removed,station_display,propagation_risk_score,failure_impact_score,betweenness_centrality,degree_centrality
baker street,Baker Street,0.7899999999999999,0.3,0.3543809046556072,0.025830258302583
green park,Green Park,0.6752288560105894,0.0873377559956885,0.3418789576784653,0.022140221402214
earls court,Earls Court,0.6459653938762946,0.6289698103099821,0.2059716988704278,0.022140221402214
kings cross st. pancras,Kings Cross St. Pancras,0.6246643952270317,0.4957143315014417,0.1955828891622253,0.025830258302583
waterloo,Waterloo,0.5938478392943689,0.0959692387975166,0.282363901416792,0.022140221402214
liverpool street,Liverpool Street,0.5564053977835186,0.1290219164228148,0.2724235797913536,0.018450184501845
stratford,Stratford,0.5243624464771812,0.4806424340469278,0.2221989886565535,0.011070110701107
wembley park,Wembley Park,0.5187208907384887,0.4281939002963351,0.1821017374194905,0.018450184501845
bank,Bank,0.517697409514889,0.0924941435327373,0.2527556831123866,0.018450184501845
camden town,Camden Town,0.5076844683694098,0.7008957825279121,0.1399207325406587,0.014760147601476
euston,Euston,0.5073945327129532,0.5330765912367453,0.1753983873172064,0.014760147601476
finchley road,Finchley Road,0.5003560829148015,0.2407408159338341,0.2089433391688414,0.018450184501845
westminster,Westminster,0.4896617037012452,0.0833468096928266,0.2584554234431233,0.014760147601476
bond street,Bond Street,0.46573746543843947,0.0744287429809526,0.2433950725750643,0.014760147601476
mile end,Mile End,0.46353011418734985,0.1155078929313152,0.2330959865154209,0.014760147601476
paddington,Paddington,0.4540758004656342,0.4191773282871503,0.161826340485627,0.014760147601476
edgware road (circle line),Edgware Road (Circle Line),0.44813326825994604,0.3853141985611637,0.1884401621793996,0.011070110701107
turnham green,Turnham Green,0.41431239988657464,0.3237333759382328,0.1303122756095286,0.018450184501845
finsbury park,Finsbury Park,0.4083340961701013,0.6075471805172049,0.0893535602022686,0.014760147601476
harrow-on-the-hill,Harrow-On-The-Hill,0.4070275154984876,0.4283166869979025,0.1501624180262966,0.011070110701107
oxford circus,Oxford Circus,0.3900290168404632,0.0654384995806226,0.1443966106327731,0.022140221402214
bethnal green,Bethnal Green,0.389233693194864,0.0876243399057345,0.233617147282584,0.007380073800738
stockwell,Stockwell,0.3797493446367141,0.5799681893529609,0.0749578606897179,0.014760147601476
leytonstone,Leytonstone,0.377340180681293,0.4455936763905853,0.1254475878092114,0.011070110701107
acton town,Acton Town,0.3733176315098333,0.3754543956120154,0.1138847780012191,0.014760147601476
leyton,Leyton,0.3557112277698542,0.4590909090909091,0.1308733087330873,0.007380073800738
west ham,West Ham,0.34245688419350295,0.3763568908744518,0.0918199626440708,0.014760147601476
victoria,Victoria,0.33113631282425765,0.0646254504136033,0.1500793759260344,0.014760147601476
notting hill gate,Notting Hill Gate,0.32681192884926136,0.0978373413222604,0.1399526217484397,0.014760147601476
south kensington,South Kensington,0.3054724076084309,0.0745943247956458,0.1533955064418369,0.011070110701107
gloucester road,Gloucester Road,0.3014017529674047,0.0743947774805027,0.1505528113482192,0.011070110701107
