line,from_id,to_id
bakerloo,940GZZLUEAC,940GZZLULBN
bakerloo,940GZZLULBN,940GZZLUWLO
bakerloo,940GZZLUWLO,940GZZLUEMB
bakerloo,940GZZLUEMB,940GZZLUCHX
bakerloo,940GZZLUCHX,940GZZLUPCC
bakerloo,940GZZLUPCC,940GZZLUOXC
bakerloo,940GZZLUOXC,940GZZLURGP
bakerloo,940GZZLURGP,940GZZLUBST
bakerloo,940GZZLUBST,940GZZLUMYB
bakerloo,940GZZLUMYB,940GZZLUERB
bakerloo,940GZZLUERB,940GZZLUPAC
bakerloo,940GZZLUPAC,940GZZLUWKA
bakerloo,940GZZLUWKA,940GZZLUMVL
bakerloo,940GZZLUMVL,940GZZLUKPK
bakerloo,940GZZLUKPK,940GZZLUQPS
bakerloo,940GZZLUQPS,940GZZLUKSL
bakerloo,940GZZLUKSL,940GZZLUWJN
bakerloo,940GZZLUWJN,940GZZLUHSN
bakerloo,940GZZLUHSN,940GZZLUSGP
bakerloo,940GZZLUSGP,940GZZLUWYC
bakerloo,940GZZLUWYC,940GZZLUNWY
bakerloo,940GZZLUNWY,940GZZLUSKT
bakerloo,940GZZLUSKT,940GZZLUKEN
bakerloo,940GZZLUKEN,940GZZLUHAW
bakerloo,940GZZLUHAW,940GZZLUKEN
bakerloo,940GZZLUKEN,940GZZLUSKT
bakerloo,940GZZLUSKT,940GZZLUNWY
bakerloo,940GZZLUNWY,940GZZLUWYC
bakerloo,940GZZLUWYC,940GZZLUSGP
bakerloo,940GZZLUSGP,940GZZLUHSN
bakerloo,940GZZLUHSN,940GZZLUWJN
bakerloo,940GZZLUWJN,940GZZLUKSL
bakerloo,940GZZLUKSL,940GZZLUQPS
bakerloo,940GZZLUQPS,940GZZLUKPK
bakerloo,940GZZLUKPK,940GZZLUMVL
bakerloo,940GZZLUMVL,940GZZLUWKA
bakerloo,940GZZLUWKA,940GZZLUPAC
bakerloo,940GZZLUPAC,940GZZLUERB
bakerloo,940GZZLUERB,940GZZLUMYB
bakerloo,940GZZLUMYB,940GZZLUBST
bakerloo,940GZZLUBST,940GZZLURGP
bakerloo,940GZZLURGP,940GZZLUOXC
bakerloo,940GZZLUOXC,940GZZLUPCC
bakerloo,940GZZLUPCC,940GZZLUCHX
bakerloo,940GZZLUCHX,940GZZLUEMB
bakerloo,940GZZLUEMB,940GZZLUWLO
bakerloo,940GZZLUWLO,940GZZLULBN
bakerloo,940GZZLULBN,940GZZLUEAC
central,940GZZLUEBY,940GZZLUWTA
central,940GZZLUWTA,940GZZLUNAN
central,940GZZLUNAN,940GZZLUEAN
central,940GZZLUEAN,940GZZLUWCY
central,940GZZLUWCY,940GZZLUSBC
central,940GZZLUSBC,940GZZLUHPK
central,940GZZLUHPK,940GZZLUNHG
central,940GZZLUNHG,940GZZLUQWY
central,940GZZLUQWY,940GZZLULGT
central,940GZZLULGT,940GZZLUMBA
central,940GZZLUMBA,940GZZLUBND
central,940GZZLUBND,940GZZLUOXC
central,940GZZLUOXC,940GZZLUTCR
central,940GZZLUTCR,940GZZLUHBN
central,940GZZLUHBN,940GZZLUCHL
central,940GZZLUCHL,940GZZLUSPU
central,940GZZLUSPU,940GZZLUBNK
central,940GZZLUBNK,940GZZLULVT
central,940GZZLULVT,940GZZLUBLG
central,940GZZLUBLG,940GZZLUMED
central,940GZZLUMED,940GZZLUSTD
central,940GZZLUSTD,940GZZLULYN
central,940GZZLULYN,940GZZLULYS
central,940GZZLULYS,940GZZLUSNB
central,940GZZLUSNB,940GZZLUSWF
central,940GZZLUSWF,940GZZLUWOF
central,940GZZLUWOF,940GZZLUBKH
central,940GZZLUBKH,940GZZLULGN
central,940GZZLULGN,940GZZLUDBN
central,940GZZLUDBN,940GZZLUTHB
central,940GZZLUTHB,940GZZLUEPG
central,940GZZLULYS,940GZZLUWSD
central,940GZZLUWSD,940GZZLURBG
central,940GZZLURBG,940GZZLUGTH
central,940GZZLUGTH,940GZZLUNBP
central,940GZZLUNBP,940GZZLUBKE
central,940GZZLUBKE,940GZZLUFLP
central,940GZZLUFLP,940GZZLUHLT
central,940GZZLUEPG,940GZZLUTHB
central,940GZZLUTHB,940GZZLUDBN
central,940GZZLUDBN,940GZZLULGN
central,940GZZLULGN,940GZZLUBKH
central,940GZZLUBKH,940GZZLUWOF
central,940GZZLUWOF,940GZZLUSWF
central,940GZZLUSWF,940GZZLUSNB
central,940GZZLUSNB,940GZZLULYS
central,940GZZLULYS,940GZZLULYN
central,940GZZLULYN,940GZZLUSTD
central,940GZZLUSTD,940GZZLUMED
central,940GZZLUMED,940GZZLUBLG
central,940GZZLUBLG,940GZZLULVT
central,940GZZLULVT,940GZZLUBNK
central,940GZZLUBNK,940GZZLUSPU
central,940GZZLUSPU,940GZZLUCHL
central,940GZZLUCHL,940GZZLUHBN
central,940GZZLUHBN,940GZZLUTCR
central,940GZZLUTCR,940GZZLUOXC
central,940GZZLUOXC,940GZZLUBND
central,940GZZLUBND,940GZZLUMBA
central,940GZZLUMBA,940GZZLULGT
central,940GZZLULGT,940GZZLUQWY
central,940GZZLUQWY,940GZZLUNHG
central,940GZZLUNHG,940GZZLUHPK
central,940GZZLUHPK,940GZZLUSBC
central,940GZZLUSBC,940GZZLUWCY
central,940GZZLUWCY,940GZZLUEAN
central,940GZZLUEAN,940GZZLUNAN
central,940GZZLUNAN,940GZZLUHGR
central,940GZZLUHGR,940GZZLUPVL
central,940GZZLUPVL,940GZZLUGFD
central,940GZZLUGFD,940GZZLUNHT
central,940GZZLUNHT,940GZZLUSRP
central,940GZZLUSRP,940GZZLURSG
central,940GZZLURSG,940GZZLUWRP
central,940GZZLUNAN,940GZZLUWTA
central,940GZZLUWTA,940GZZLUEBY
central,940GZZLUHLT,940GZZLUFLP
central,940GZZLUFLP,940GZZLUBKE
central,940GZZLUBKE,940GZZLUNBP
central,940GZZLUNBP,940GZZLUGTH
central,940GZZLUGTH,940GZZLURBG
central,940GZZLURBG,940GZZLUWSD
central,940GZZLUWSD,940GZZLULYS
central,940GZZLUHLT,940GZZLUGGH
central,940GZZLUGGH,940GZZLUCWL
central,940GZZLUCWL,940GZZLURVY
central,940GZZLURVY,940GZZLUWOF
central,940GZZLUWRP,940GZZLURSG
central,940GZZLURSG,940GZZLUSRP
central,940GZZLUSRP,940GZZLUNHT
central,940GZZLUNHT,940GZZLUGFD
central,940GZZLUGFD,940GZZLUPVL
central,940GZZLUPVL,940GZZLUHGR
central,940GZZLUHGR,940GZZLUNAN
central,940GZZLUWOF,940GZZLURVY
central,940GZZLURVY,940GZZLUCWL
central,940GZZLUCWL,940GZZLUGGH
central,940GZZLUGGH,940GZZLUHLT
circle,940GZZLUERC,940GZZLUPAC
circle,940GZZLUPAC,940GZZLUBWT
circle,940GZZLUBWT,940GZZLUNHG
circle,940GZZLUNHG,940GZZLUHSK
circle,940GZZLUHSK,940GZZLUGTR
circle,940GZZLUGTR,940GZZLUSKS
circle,940GZZLUSKS,940GZZLUSSQ
circle,940GZZLUSSQ,940GZZLUVIC
circle,940GZZLUVIC,940GZZLUSJP
circle,940GZZLUSJP,940GZZLUWSM
circle,940GZZLUWSM,940GZZLUEMB
circle,940GZZLUEMB,940GZZLUTMP
circle,940GZZLUTMP,940GZZLUBKF
circle,940GZZLUBKF,940GZZLUMSH
circle,940GZZLUMSH,940GZZLUCST
circle,940GZZLUCST,940GZZLUMMT
circle,940GZZLUMMT,940GZZLUTWH
circle,940GZZLUTWH,940GZZLUALD
