Financial Year,Period,Line,Actual KMs in Peak,Scheduled KMs in Peak,Actual KMs in Off Peak,Scheduled KMs in Off Peak,Actual KMs Total,Scheduled KMs Total,,,,
2016-17,1,Bakerloo," 76,446 "," 79,803 "," 232,682 "," 238,264 "," 309,128 "," 318,068 ",,,,
2016-17,1,C&H," 75,814 "," 79,242 "," 257,117 "," 269,366 "," 332,931 "," 348,608 ",,,,
2016-17,1,Central," 281,658 "," 293,652 "," 778,134 "," 788,828 "," 1,059,792 "," 1,082,480 ",,,,
2016-17,1,District," 214,410 "," 220,225 "," 623,936 "," 631,176 "," 838,346 "," 851,400 ",,,,
2016-17,1,Jubilee," 227,387 "," 232,641 "," 663,054 "," 672,295 "," 890,442 "," 904,936 ",,,,
2016-17,1,Metropolitan," 179,229 "," 181,473 "," 499,016 "," 504,239 "," 678,246 "," 685,713 ",,,,
2016-17,1,Northern," 310,205 "," 313,225 "," 848,313 "," 854,621 "," 1,158,518 "," 1,167,845 ",,,,
2016-17,1,Piccadilly," 251,574 "," 260,550 "," 764,374 "," 781,698 "," 1,015,949 "," 1,042,248 ",,,,
2016-17,1,Victoria," 163,941 "," 166,123 "," 419,814 "," 420,155 "," 583,754 "," 586,278 ",,,,
2016-17,1,Waterloo & City," 11,142 "," 11,792 "," 18,059 "," 18,383 "," 29,201 "," 30,175 ",,,,
2016-17,2,Bakerloo," 73,006 "," 75,701 "," 216,889 "," 220,327 "," 289,895 "," 296,028 ",,,,
2016-17,2,C&H," 72,002 "," 75,512 "," 248,818 "," 260,415 "," 320,820 "," 335,927 ",,,,
2016-17,2,Central," 266,636 "," 278,136 "," 716,133 "," 726,767 "," 982,769 "," 1,004,903 ",,,,
2016-17,2,District," 201,913 "," 207,952 "," 573,836 "," 584,855 "," 775,749 "," 792,807 ",,,,
2016-17,2,Jubilee," 215,435 "," 220,155 "," 617,560 "," 622,216 "," 832,995 "," 842,371 ",,,,
2016-17,2,Metropolitan," 166,787 "," 171,186 "," 456,280 "," 466,030 "," 623,067 "," 637,217 ",,,,
2016-17,2,Northern," 282,266 "," 291,282 "," 801,830 "," 807,921 "," 1,084,096 "," 1,099,203 ",,,,
2016-17,2,Piccadilly," 238,813 "," 246,608 "," 710,148 "," 722,856 "," 948,961 "," 969,464 ",,,,
2016-17,2,Victoria," 157,774 "," 162,784 "," 403,781 "," 407,063 "," 561,555 "," 569,847 ",,,,
2016-17,2,Waterloo & City," 10,663 "," 10,934 "," 16,685 "," 16,751 "," 27,348 "," 27,685 ",,,,
2016-17,3,Bakerloo," 71,382 "," 75,708 "," 212,991 "," 220,319 "," 284,372 "," 296,027 ",,,,
2016-17,3,C&H," 70,460 "," 75,549 "," 206,349 "," 221,736 "," 276,809 "," 297,284 ",,,,
2016-17,3,Central," 265,024 "," 278,136 "," 724,531 "," 739,492 "," 989,555 "," 1,017,628 ",,,,
2016-17,3,District," 196,370 "," 206,053 "," 525,841 "," 540,364 "," 722,211 "," 746,417 ",,,,
2016-17,3,Jubilee," 214,725 "," 220,167 "," 614,167 "," 622,342 "," 828,891 "," 842,509 ",,,,
2016-17,3,Metropolitan," 162,823 "," 170,060 "," 432,786 "," 450,543 "," 595,609 "," 620,604 ",,,,
2016-17,3,Northern," 293,395 "," 297,004 "," 858,811 "," 863,997 "," 1,152,206 "," 1,161,001 ",,,,
2016-17,3,Piccadilly," 239,833 "," 246,823 "," 705,709 "," 722,030 "," 945,542 "," 968,853 ",,,,
2016-17,3,Victoria," 165,238 "," 169,015 "," 422,198 "," 425,023 "," 587,436 "," 594,038 ",,,,
2016-17,3,Waterloo & City," 10,350 "," 10,934 "," 16,529 "," 16,751 "," 26,879 "," 27,685 ",,,,
2016-17,4,Bakerloo," 73,884 "," 76,006 "," 214,942 "," 217,481 "," 288,826 "," 293,487 ",,,,
2016-17,4,C&H," 69,110 "," 75,538 "," 231,803 "," 251,739 "," 300,913 "," 327,277 ",,,,
2016-17,4,Central," 261,944 "," 279,671 "," 721,637 "," 763,714 "," 983,580 "," 1,043,385 ",,,,
2016-17,4,District," 203,084 "," 209,132 "," 578,796 "," 583,733 "," 781,880 "," 792,864 ",,,,
2016-17,4,Jubilee," 218,371 "," 221,502 "," 616,328 "," 623,779 "," 834,699 "," 845,281 ",,,,
2016-17,4,Metropolitan," 162,220 "," 171,520 "," 448,017 "," 456,933 "," 610,237 "," 628,453 ",,,,
2016-17,4,Northern," 295,022 "," 298,309 "," 829,725 "," 834,575 "," 1,124,747 "," 1,132,884 ",,,,
2016-17,4,Piccadilly," 241,017 "," 248,600 "," 704,364 "," 721,847 "," 945,380 "," 970,448 ",,,,
2016-17,4,Victoria," 159,978 "," 170,488 "," 417,413 "," 427,322 "," 577,392 "," 597,810 ",,,,
2016-17,4,Waterloo & City," 10,822 "," 11,230 "," 17,361 "," 17,333 "," 28,184 "," 28,563 ",,,,
2016-17,5,Bakerloo," 73,818 "," 76,006 "," 213,374 "," 220,372 "," 287,192 "," 296,378 ",,,,
2016-17,5,C&H," 71,355 "," 75,290 "," 239,470 "," 257,227 "," 310,825 "," 332,517 ",,,,
2016-17,5,Central," 271,192 "," 279,503 "," 755,235 "," 766,281 "," 1,026,426 "," 1,045,784 ",,,,
2016-17,5,District," 204,239 "," 209,031 "," 581,762 "," 591,445 "," 786,001 "," 800,476 ",,,,
2016-17,5,Jubilee," 217,113 "," 221,485 "," 616,080 "," 622,434 "," 833,193 "," 843,918 ",,,,
2016-17,5,Metropolitan," 166,052 "," 170,870 "," 447,651 "," 456,606 "," 613,703 "," 627,476 ",,,,
2016-17,5,Northern," 293,704 "," 298,267 "," 730,482 "," 733,107 "," 1,024,185 "," 1,031,373 ",,,,
2016-17,5,Piccadilly," 239,740 "," 248,451 "," 700,272 "," 722,552 "," 940,012 "," 971,003 ",,,,
2016-17,5,Victoria," 168,254 "," 170,399 "," 424,819 "," 427,612 "," 593,072 "," 598,011 ",,,,
2016-17,5,Waterloo & City," 10,840 "," 11,230 "," 16,837 "," 16,894 "," 27,677 "," 28,124 ",,,,
2016-17,6,Bakerloo," 70,684 "," 75,701 "," 207,668 "," 217,111 "," 278,352 "," 292,812 ",,,,
2016-17,6,C&H," 67,937 "," 75,361 "," 230,816 "," 252,735 "," 298,753 "," 328,096 ",,,,
2016-17,6,Central," 260,915 "," 277,261 "," 759,957 "," 779,880 "," 1,020,872 "," 1,057,141 ",,,,
2016-17,6,District," 201,598 "," 207,643 "," 572,876 "," 582,012 "," 774,474 "," 789,655 ",,,,
2016-17,6,Jubilee," 215,546 "," 220,088 "," 615,806 "," 622,511 "," 831,352 "," 842,599 ",,,,
2016-17,6,Metropolitan," 165,063 "," 169,153 "," 445,997 "," 461,106 "," 611,060 "," 630,259 ",,,,
2016-17,6,Northern," 289,608 "," 291,772 "," 773,205 "," 782,288 "," 1,062,813 "," 1,074,060 ",,,,
2016-17,6,Piccadilly," 235,316 "," 246,686 "," 692,713 "," 722,168 "," 928,029 "," 968,854 ",,,,
2016-17,6,Victoria," 166,665 "," 169,147 "," 433,809 "," 436,871 "," 600,474 "," 606,018 ",,,,
2016-17,6,Waterloo & City," 10,749 "," 10,934 "," 16,793 "," 16,751 "," 27,542 "," 27,685 ",,,,
2016-17,7,Bakerloo," 72,877 "," 76,006 "," 213,901 "," 220,378 "," 286,778 "," 296,384 ",,,,
2016-17,7,C&H," 71,763 "," 75,284 "," 226,803 "," 240,025 "," 298,566 "," 315,308 ",,,,
2016-17,7,Central," 263,586 "," 279,270 "," 762,251 "," 782,986 "," 1,025,837 "," 1,062,256 ",,,,
2016-17,7,District," 202,833 "," 208,937 "," 530,980 "," 545,109 "," 733,813 "," 754,046 ",,,,
2016-17,7,Jubilee," 218,756 "," 221,340 "," 623,438 "," 631,370 "," 842,193 "," 852,710 ",,,,
2016-17,7,Metropolitan," 167,732 "," 170,915 "," 451,085 "," 456,433 "," 618,818 "," 627,348 ",,,,
2016-17,7,Northern," 294,686 "," 298,309 "," 839,105 "," 850,002 "," 1,133,791 "," 1,148,311 ",,,,
2016-17,7,Piccadilly," 237,157 "," 248,451 "," 686,005 "," 711,490 "," 923,162 "," 959,941 ",,,,
2016-17,7,Victoria," 167,478 "," 170,611 "," 436,942 "," 437,293 "," 604,420 "," 607,904 ",,,,
2016-17,7,Waterloo & City," 10,977 "," 11,230 "," 16,883 "," 16,894 "," 27,860 "," 28,124 ",,,,
2016-17,8,Bakerloo," 72,385 "," 76,006 "," 212,710 "," 217,150 "," 285,095 "," 293,156 ",,,,
2016-17,8,C&H," 68,201 "," 75,250 "," 225,767 "," 246,207 "," 293,968 "," 321,457 ",,,,
2016-17,8,Central," 262,442 "," 277,536 "," 766,115 "," 785,138 "," 1,028,557 "," 1,062,674 ",,,,
2016-17,8,District," 199,146 "," 208,950 "," 575,377 "," 588,695 "," 774,523 "," 797,645 ",,,,
2016-17,8,Jubilee," 217,447 "," 221,815 "," 636,582 "," 643,420 "," 854,029 "," 865,235 ",,,,
2016-17,8,Metropolitan," 166,705 "," 171,130 "," 451,057 "," 457,546 "," 617,761 "," 628,676 ",,,,
2016-17,8,Northern," 295,154 "," 297,912 "," 858,380 "," 864,771 "," 1,153,533 "," 1,162,683 ",,,,
2016-17,8,Piccadilly," 232,386 "," 248,428 "," 687,196 "," 719,785 "," 919,582 "," 968,213 ",,,,
2016-17,8,Victoria," 166,587 "," 170,611 "," 434,178 "," 437,546 "," 600,765 "," 608,157 ",,,,
2016-17,8,Waterloo & City," 10,955 "," 11,230 "," 16,803 "," 16,894 "," 27,758 "," 28,124 ",,,,
2016-17,9,Bakerloo," 73,326 "," 76,006 "," 212,205 "," 217,150 "," 285,531 "," 293,156 ",,,,
2016-17,9,C&H," 70,393 "," 75,274 "," 226,432 "," 246,891 "," 296,825 "," 322,166 ",,,,
2016-17,9,Central," 249,664 "," 277,556 "," 752,645 "," 784,802 "," 1,002,308 "," 1,062,358 ",,,,
2016-17,9,District," 200,643 "," 208,979 "," 558,934 "," 571,297 "," 759,576 "," 780,276 ",,,,
2016-17,9,Jubilee," 217,699 "," 221,819 "," 636,099 "," 643,105 "," 853,797 "," 864,924 ",,,,
2016-17,9,Metropolitan," 166,709 "," 171,293 "," 454,612 "," 462,487 "," 621,321 "," 633,780 ",,,,
2016-17,9,Northern," 288,672 "," 298,866 "," 872,903 "," 888,181 "," 1,161,575 "," 1,187,047 ",,,,
2016-17,9,Piccadilly," 171,797 "," 248,072 "," 525,648 "," 723,664 "," 697,445 "," 971,736 ",,,,
2016-17,9,Victoria," 164,856 "," 170,611 "," 430,006 "," 437,293 "," 594,862 "," 607,904 ",,,,
2016-17,9,Waterloo & City," 10,851 "," 11,230 "," 16,872 "," 16,894 "," 27,723 "," 28,124 ",,,,
2016-17,10,Bakerloo," 71,648 "," 72,615 "," 203,002 "," 205,490 "," 274,650 "," 278,105 ",,,,
2016-17,10,C&H," 64,936 "," 68,726 "," 213,024 "," 229,847 "," 277,960 "," 298,572 ",,,,
2016-17,10,Central," 248,247 "," 263,760 "," 706,768 "," 727,586 "," 955,016 "," 991,346 ",,,,
2016-17,10,District," 175,206 "," 181,882 "," 507,231 "," 518,388 "," 682,437 "," 700,270 ",,,,
2016-17,10,Jubilee," 209,593 "," 210,368 "," 592,676 "," 596,094 "," 802,268 "," 806,462 ",,,,
2016-17,10,Metropolitan," 153,681 "," 157,839 "," 416,728 "," 423,419 "," 570,409 "," 581,257 ",,,,
2016-17,10,Northern," 283,008 "," 285,806 "," 816,341 "," 820,168 "," 1,099,349 "," 1,105,974 ",,,,
2016-17,10,Piccadilly," 198,446 "," 234,595 "," 609,726 "," 693,945 "," 808,172 "," 928,540 ",,,,
2016-17,10,Victoria," 152,377 "," 158,380 "," 393,561 "," 401,699 "," 545,938 "," 560,079 ",,,,
2016-17,10,Waterloo & City," 9,437 "," 9,644 "," 15,473 "," 15,527 "," 24,911 "," 25,171 ",,,,
2016-17,11,Bakerloo," 67,770 "," 75,562 "," 208,624 "," 220,794 "," 276,394 "," 296,356 ",,,,
2016-17,11,C&H," 68,196 "," 75,434 "," 231,030 "," 255,275 "," 299,226 "," 330,709 ",,,,
2016-17,11,Central," 248,800 "," 279,858 "," 734,015 "," 782,416 "," 982,815 "," 1,062,274 ",,,,
2016-17,11,District," 200,815 "," 209,096 "," 565,845 "," 584,305 "," 766,660 "," 793,401 ",,,,
2016-17,11,Jubilee," 214,196 "," 221,783 "," 538,732 "," 557,021 "," 752,928 "," 778,804 ",,,,
2016-17,11,Metropolitan," 168,101 "," 171,986 "," 372,674 "," 378,382 "," 540,776 "," 550,368 ",,,,
2016-17,11,Northern," 289,254 "," 298,881 "," 870,967 "," 890,279 "," 1,160,221 "," 1,189,160 ",,,,
2016-17,11,Piccadilly," 224,357 "," 249,433 "," 686,890 "," 750,268 "," 911,247 "," 999,701 ",,,,
2016-17,11,Victoria," 149,946 "," 170,611 "," 404,510 "," 437,576 "," 554,456 "," 608,187 ",,,,
2016-17,11,Waterloo & City," 10,284 "," 11,230 "," 15,756 "," 16,894 "," 26,040 "," 28,124 ",,,,
2016-17,12,Bakerloo," 71,671 "," 75,563 "," 211,219 "," 217,527 "," 282,890 "," 293,090 ",,,,
2016-17,12,C&H," 69,796 "," 75,489 "," 232,805 "," 246,871 "," 302,601 "," 322,360 ",,,,
