"time period","national or operator","number of trains planned","number of trains part cancelled","number of trains full cancelled","cancellation number","periodic cancellations percentage","moving annual average cancellations percentage"
"Apr 2019 to Mar 2020 (Period 01)","Great Britain","583459","8028","9126","13140.0","2.25","[z]"
"Apr 2019 to Mar 2020 (Period 02)","Great Britain","603769","9175","8578","13165.5","2.18","[z]"
"Apr 2019 to Mar 2020 (Period 03)","Great Britain","605955","9969","11003","15987.5","2.64","[z]"
"Apr 2019 to Mar 2020 (Period 04)","Great Britain","609928","11677","12645","18483.5","3.03","[z]"
"Apr 2019 to Mar 2020 (Period 05)","Great Britain","609240","14146","18043","25116.0","4.12","[z]"
"Apr 2019 to Mar 2020 (Period 06)","Great Britain","606975","10282","12307","17448.0","2.87","[z]"
"Apr 2019 to Mar 2020 (Period 07)","Great Britain","610101","12730","14207","20572.0","3.37","[z]"
"Apr 2019 to Mar 2020 (Period 08)","Great Britain","611712","14476","16941","24179.0","3.95","[z]"
"Apr 2019 to Mar 2020 (Period 09)","Great Britain","606614","16474","16558","24795.0","4.09","[z]"
"Apr 2019 to Mar 2020 (Period 10)","Great Britain","529492","12770","18510","24895.0","4.70","[z]"
"Apr 2019 to Mar 2020 (Period 11)","Great Britain","612230","13023","11910","18421.5","3.01","[z]"
"Apr 2019 to Mar 2020 (Period 12)","Great Britain","610403","15649","18141","25965.5","4.25","[z]"
"Apr 2019 to Mar 2020 (Period 13)","Great Britain","594078","11897","17344","23292.5","3.92","3.41"
"Apr 2020 to Mar 2021 (Period 01)","Great Britain","387594","2230","2381","3496.0","0.90","3.37"
"Apr 2020 to Mar 2021 (Period 02)","Great Britain","376096","3551","2779","4554.5","1.21","3.35"
"Apr 2020 to Mar 2021 (Period 03)","Great Britain","431975","4046","4567","6590.0","1.53","3.30"
"Apr 2020 to Mar 2021 (Period 04)","Great Britain","471327","4430","4807","7022.0","1.49","3.21"
"Apr 2020 to Mar 2021 (Period 05)","Great Britain","494511","6838","8853","12272.0","2.48","3.08"
"Apr 2020 to Mar 2021 (Period 06)","Great Britain","515959","6689","8417","11761.5","2.28","3.03"
"Apr 2020 to Mar 2021 (Period 07)","Great Britain","545012","7317","8007","11665.5","2.14","2.93"
"Apr 2020 to Mar 2021 (Period 08)","Great Britain","541572","8450","8755","12980.0","2.40","2.79"
"Apr 2020 to Mar 2021 (Period 09)","Great Britain","525614","6738","6986","10355.0","1.97","2.61"
"Apr 2020 to Mar 2021 (Period 10)","Great Britain","472595","7207","11329","14932.5","3.16","2.48"
"Apr 2020 to Mar 2021 (Period 11)","Great Britain","481949","7773","8912","12798.5","2.66","2.45"
"Apr 2020 to Mar 2021 (Period 12)","Great Britain","453447","7025","7689","11201.5","2.47","2.27"
"Apr 2020 to Mar 2021 (Period 13)","Great Britain","408509","4573","4558","6844.5","1.68","2.07"
"Apr 2021 to Mar 2022 (Period 01)","Great Britain","525937","5949","5056","8030.5","1.53","2.10"
"Apr 2021 to Mar 2022 (Period 02)","Great Britain","499592","6772","7127","10513.0","2.10","2.15"
"Apr 2021 to Mar 2022 (Period 03)","Great Britain","525527","9182","11052","15643.0","2.98","2.26"
"Apr 2021 to Mar 2022 (Period 04)","Great Britain","526594","9268","16960","21594.0","4.10","2.46"
"Apr 2021 to Mar 2022 (Period 05)","Great Britain","513927","7502","12680","16431.0","3.20","2.52"
"Apr 2021 to Mar 2022 (Period 06)","Great Britain","520585","8491","12256","16501.5","3.17","2.59"
"Apr 2021 to Mar 2022 (Period 07)","Great Britain","532849","8175","10082","14169.5","2.66","2.63"
"Apr 2021 to Mar 2022 (Period 08)","Great Britain","536227","10659","13350","18679.5","3.48","2.72"
"Apr 2021 to Mar 2022 (Period 09)","Great Britain","537011","11502","16546","22297.0","4.15","2.90"
"Apr 2021 to Mar 2022 (Period 10)","Great Britain","472899","8788","16061","20455.0","4.33","2.99"
"Apr 2021 to Mar 2022 (Period 11)","Great Britain","504480","7430","8690","12405.0","2.46","2.97"
"Apr 2021 to Mar 2022 (Period 12)","Great Britain","511794","10860","23993","29423.0","5.75","3.22"
"Apr 2021 to Mar 2022 (Period 13)","Great Britain","485812","8253","11581","15707.5","3.23","3.31"
"Apr 2022 to Mar 2023 (Period 01)","Great Britain","559777","8553","12816","17092.5","3.05","3.43"
"Apr 2022 to Mar 2023 (Period 02)","Great Britain","535760","8324","10049","14211.0","2.65","3.47"
